nrun,num_blocks,num_threads_per_block,taukern
0,8,32,531.15
1,8,32,531.001
2,8,32,531.033
3,8,32,531.819
4,8,32,531.774
5,8,32,531.008
6,8,32,530.943
7,8,32,531.065
8,8,32,530.906
9,8,32,530.824
10,8,32,530.947
11,8,32,531.842
12,8,32,530.982
13,8,32,530.81
14,8,32,530.804
15,8,32,530.963
16,8,32,531.911
17,8,32,531.014
18,8,32,531.015
19,8,32,530.883
20,8,32,530.942
21,8,32,530.954
22,8,32,531.815
23,8,32,531.303
24,8,32,530.919
0,8,64,315.769
1,8,64,315.667
2,8,64,315.078
3,8,64,315.135
4,8,64,315.016
5,8,64,314.932
6,8,64,314.896
7,8,64,315.149
8,8,64,315.61
9,8,64,315.715
10,8,64,314.9
11,8,64,314.863
12,8,64,314.865
13,8,64,314.927
14,8,64,314.916
15,8,64,315.164
16,8,64,317.198
17,8,64,314.889
18,8,64,314.971
19,8,64,314.816
20,8,64,315.567
21,8,64,315.7
22,8,64,314.977
23,8,64,314.973
24,8,64,314.904
0,8,128,180.011
1,8,128,180.097
2,8,128,179.947
3,8,128,181.577
4,8,128,180.687
5,8,128,179.957
6,8,128,179.964
7,8,128,179.852
8,8,128,180.607
9,8,128,180.74
10,8,128,181.356
11,8,128,180.671
12,8,128,180.706
13,8,128,179.959
14,8,128,179.86
15,8,128,179.964
16,8,128,179.836
17,8,128,180.637
18,8,128,180.737
19,8,128,179.971
20,8,128,179.876
21,8,128,179.868
22,8,128,179.915
23,8,128,180.595
24,8,128,180.63
0,8,256,147.427
1,8,256,147.686
2,8,256,147.517
3,8,256,148.099
4,8,256,147.884
5,8,256,147.329
6,8,256,147.227
7,8,256,148.099
8,8,256,148.083
9,8,256,147.347
10,8,256,147.456
11,8,256,147.202
12,8,256,147.253
13,8,256,147.258
14,8,256,147.314
15,8,256,147.302
16,8,256,147.91
17,8,256,147.389
18,8,256,147.219
19,8,256,147.207
20,8,256,147.298
21,8,256,148.225
22,8,256,147.978
23,8,256,147.412
24,8,256,147.416
0,8,512,130.37
1,8,512,130.466
2,8,512,130.584
3,8,512,132.665
4,8,512,130.264
5,8,512,131.436
6,8,512,133.633
7,8,512,130.3
8,8,512,130.461
9,8,512,131.081
10,8,512,131.029
11,8,512,131.144
12,8,512,130.282
13,8,512,130.316
14,8,512,130.321
15,8,512,131.026
16,8,512,131.077
17,8,512,130.286
18,8,512,130.379
19,8,512,130.339
20,8,512,130.283
21,8,512,131.034
22,8,512,131.103
23,8,512,130.32
24,8,512,130.496
0,16,32,315.65
1,16,32,314.974
2,16,32,314.904
3,16,32,314.976
4,16,32,314.966
5,16,32,315.578
6,16,32,314.906
7,16,32,314.926
8,16,32,315.019
9,16,32,314.834
10,16,32,314.89
11,16,32,315.106
12,16,32,315.916
13,16,32,314.863
14,16,32,314.938
15,16,32,314.924
16,16,32,315.713
17,16,32,315.695
18,16,32,316.65
19,16,32,314.884
20,16,32,314.83
21,16,32,315.081
22,16,32,314.945
23,16,32,314.852
24,16,32,314.926
0,16,64,180.011
1,16,64,180.09
2,16,64,180.012
3,16,64,180.023
4,16,64,180.009
5,16,64,180.777
6,16,64,180.501
7,16,64,180.672
8,16,64,180.123
9,16,64,179.97
10,16,64,180.774
11,16,64,180.43
12,16,64,179.991
13,16,64,179.945
14,16,64,180.402
15,16,64,180.113
16,16,64,179.952
17,16,64,180.793
18,16,64,180.144
19,16,64,180.217
20,16,64,182.001
21,16,64,179.996
22,16,64,180.268
23,16,64,180.762
24,16,64,179.986
0,16,128,148.214
1,16,128,147.524
2,16,128,147.253
3,16,128,147.572
4,16,128,147.308
5,16,128,147.974
6,16,128,148.142
7,16,128,150.077
8,16,128,148.783
9,16,128,149.097
10,16,128,150.111
11,16,128,147.917
12,16,128,147.419
13,16,128,147.413
14,16,128,147.381
15,16,128,148.011
16,16,128,147.503
17,16,128,148.077
18,16,128,147.28
19,16,128,147.342
20,16,128,147.486
21,16,128,147.517
22,16,128,147.321
23,16,128,148.065
24,16,128,148.081
0,16,256,131.377
1,16,256,131.219
2,16,256,131.662
3,16,256,130.532
4,16,256,130.639
5,16,256,131.232
6,16,256,131.15
7,16,256,131.709
8,16,256,130.345
9,16,256,131.166
10,16,256,131.223
11,16,256,131.194
12,16,256,130.521
13,16,256,131.958
14,16,256,132.117
15,16,256,130.739
16,16,256,130.417
17,16,256,130.471
18,16,256,130.378
19,16,256,131.135
20,16,256,131.142
21,16,256,131.148
22,16,256,130.577
23,16,256,130.467
24,16,256,130.375
0,16,512,164.842
1,16,512,165.066
2,16,512,165.832
3,16,512,164.999
4,16,512,165.064
5,16,512,165.489
6,16,512,166.273
7,16,512,165.791
8,16,512,165.302
9,16,512,165.167
10,16,512,164.939
11,16,512,165.099
12,16,512,165.811
13,16,512,165.408
14,16,512,167.58
15,16,512,165.683
16,16,512,167.045
17,16,512,166.253
18,16,512,165.7
19,16,512,165.614
20,16,512,165.497
21,16,512,167.542
22,16,512,167.177
23,16,512,166.012
24,16,512,166.16
0,32,32,180.065
1,32,32,180.006
2,32,32,179.987
3,32,32,180.699
4,32,32,180.772
5,32,32,180.02
6,32,32,180.022
7,32,32,180.024
8,32,32,179.935
9,32,32,180.756
10,32,32,180.031
11,32,32,180.018
12,32,32,179.972
13,32,32,180.739
14,32,32,180.056
15,32,32,179.917
16,32,32,180.693
17,32,32,180.678
18,32,32,180.469
19,32,32,179.95
20,32,32,179.92
21,32,32,180.668
22,32,32,180.665
23,32,32,179.933
24,32,32,179.958
0,32,64,147.344
1,32,64,147.645
2,32,64,148.063
3,32,64,148.141
4,32,64,148.348
5,32,64,147.435
6,32,64,147.247
7,32,64,148.013
8,32,64,147.231
9,32,64,147.273
10,32,64,147.244
11,32,64,147.412
12,32,64,148.336
13,32,64,147.235
14,32,64,151.089
15,32,64,148.46
16,32,64,147.196
17,32,64,147.4
18,32,64,148.219
19,32,64,148.141
20,32,64,147.514
21,32,64,147.369
22,32,64,147.345
23,32,64,147.367
24,32,64,147.588
0,32,128,131.286
1,32,128,131.26
2,32,128,130.578
3,32,128,130.736
4,32,128,131.402
5,32,128,131.345
6,32,128,130.678
7,32,128,130.709
8,32,128,130.489
9,32,128,130.594
10,32,128,130.475
11,32,128,131.314
12,32,128,131.336
13,32,128,130.707
14,32,128,130.661
15,32,128,130.686
16,32,128,131.292
17,32,128,131.281
18,32,128,130.488
19,32,128,130.673
20,32,128,130.854
21,32,128,131.451
22,32,128,130.607
23,32,128,130.655
24,32,128,130.633
0,32,256,166.606
1,32,256,165.031
2,32,256,165.304
3,32,256,165.608
4,32,256,166.005
5,32,256,166.115
6,32,256,165.424
7,32,256,165.533
8,32,256,164.784
9,32,256,164.973
10,32,256,166.002
11,32,256,166.48
12,32,256,165.446
13,32,256,167.209
14,32,256,165.218
15,32,256,165.141
16,32,256,166.542
17,32,256,165.648
18,32,256,165.55
19,32,256,165.005
20,32,256,165.65
21,32,256,167.438
22,32,256,166.338
23,32,256,165.794
24,32,256,165.451
0,32,512,162.304
1,32,512,163.194
2,32,512,161.527
3,32,512,161.592
4,32,512,161.234
5,32,512,163.807
6,32,512,162.841
7,32,512,162.454
8,32,512,161.662
9,32,512,162.228
10,32,512,162.858
11,32,512,161.77
12,32,512,162.358
13,32,512,162.038
14,32,512,161.064
15,32,512,161.28
16,32,512,162.763
17,32,512,163.618
18,32,512,162.398
19,32,512,161.016
20,32,512,160.768
21,32,512,161.07
22,32,512,161.834
23,32,512,162.505
24,32,512,162.376
0,64,32,147.425
1,64,32,147.552
2,64,32,147.35
3,64,32,147.421
4,64,32,148.002
5,64,32,147.458
6,64,32,147.402
7,64,32,147.157
8,64,32,147.368
9,64,32,148.073
10,64,32,148.138
11,64,32,147.459
12,64,32,147.298
13,64,32,147.516
