nrun,num_blocks,num_threads_per_block,taukern
0,8,32,8.92682
1,8,32,8.89901
2,8,32,8.92941
3,8,32,8.90294
4,8,32,8.91005
5,8,32,8.90861
6,8,32,8.92624
7,8,32,8.9153
8,8,32,8.91722
9,8,32,8.90192
10,8,32,9.22854
11,8,32,9.32838
12,8,32,9.10131
13,8,32,8.95187
14,8,32,8.90554
15,8,32,9.10678
16,8,32,9.25613
17,8,32,9.34499
18,8,32,9.10717
19,8,32,9.1352
20,8,32,9.27203
21,8,32,9.67507
22,8,32,9.04086
23,8,32,8.96042
24,8,32,9.0897
0,8,64,5.36611
1,8,64,5.38326
2,8,64,5.40048
3,8,64,5.39773
4,8,64,5.37418
5,8,64,5.34899
6,8,64,5.52854
7,8,64,5.73133
8,8,64,5.52234
9,8,64,5.42563
10,8,64,5.32653
11,8,64,5.34531
12,8,64,5.38102
13,8,64,5.3791
14,8,64,5.38688
15,8,64,5.56157
16,8,64,5.36102
17,8,64,5.6759
18,8,64,5.93491
19,8,64,5.80659
20,8,64,5.69152
21,8,64,5.82038
22,8,64,5.64067
23,8,64,5.37814
24,8,64,5.6815
0,8,128,3.62138
1,8,128,3.41782
2,8,128,3.7448
3,8,128,3.2097
4,8,128,3.5912
5,8,128,3.77443
6,8,128,3.63805
7,8,128,3.77565
8,8,128,3.5984
9,8,128,3.77805
10,8,128,3.65414
11,8,128,3.80397
12,8,128,3.80189
13,8,128,4.00816
14,8,128,3.54323
15,8,128,3.73194
16,8,128,3.56464
17,8,128,3.86067
18,8,128,3.55949
19,8,128,3.70765
20,8,128,3.58314
21,8,128,3.65091
22,8,128,3.54138
23,8,128,3.69187
24,8,128,3.56026
0,8,256,2.61683
1,8,256,3.03382
2,8,256,3.12662
3,8,256,3.12627
4,8,256,3.01184
5,8,256,2.99056
6,8,256,3.0593
7,8,256,2.62941
8,8,256,3.40608
9,8,256,2.56365
10,8,256,3.04317
11,8,256,2.99786
12,8,256,3.08771
13,8,256,3.63939
14,8,256,3.01251
15,8,256,2.8079
16,8,256,2.91549
17,8,256,2.78806
18,8,256,2.63757
19,8,256,3.07392
20,8,256,2.88218
21,8,256,2.90717
22,8,256,3.16634
23,8,256,3.00573
24,8,256,2.6335
0,8,512,2.37021
1,8,512,2.96902
2,8,512,2.82819
3,8,512,2.91811
4,8,512,2.85258
5,8,512,2.86515
6,8,512,2.81037
7,8,512,2.3736
8,8,512,2.87242
9,8,512,2.7929
10,8,512,2.80986
11,8,512,2.73491
12,8,512,2.39222
13,8,512,2.96666
14,8,512,2.75702
15,8,512,2.57958
16,8,512,3.07392
17,8,512,2.86893
18,8,512,2.79072
19,8,512,2.39622
20,8,512,2.84397
21,8,512,2.80426
22,8,512,2.84902
23,8,512,2.83005
24,8,512,2.38781
0,16,32,5.7753
1,16,32,5.59597
2,16,32,5.61472
3,16,32,5.6993
4,16,32,5.58394
5,16,32,5.6353
6,16,32,5.31859
7,16,32,5.75037
8,16,32,5.96368
9,16,32,5.85075
10,16,32,5.73302
11,16,32,5.5999
12,16,32,5.60931
13,16,32,5.31302
14,16,32,5.77283
15,16,32,5.98835
16,16,32,5.76966
17,16,32,5.70586
18,16,32,5.93926
19,16,32,5.80838
20,16,32,5.32547
21,16,32,5.81933
22,16,32,5.82842
23,16,32,5.94368
24,16,32,5.83878
0,16,64,3.18029
1,16,64,3.20198
2,16,64,3.17718
3,16,64,3.18627
4,16,64,3.21242
5,16,64,3.22797
6,16,64,3.20058
7,16,64,3.19994
8,16,64,3.19782
9,16,64,3.2055
10,16,64,3.21331
11,16,64,3.20742
12,16,64,3.2143
13,16,64,3.1936
14,16,64,3.19312
15,16,64,3.1873
16,16,64,3.2128
17,16,64,3.1976
18,16,64,3.21414
19,16,64,3.17568
20,16,64,3.20822
21,16,64,3.1993
22,16,64,3.29222
23,16,64,3.25037
24,16,64,3.22918
0,16,128,2.61882
1,16,128,2.77296
2,16,128,3.14234
3,16,128,2.79594
4,16,128,3.14352
5,16,128,2.76493
6,16,128,3.1039
7,16,128,2.99066
8,16,128,2.82106
9,16,128,2.85917
10,16,128,3.00032
11,16,128,2.63594
12,16,128,2.9232
13,16,128,2.80659
14,16,128,2.60304
15,16,128,3.15011
16,16,128,2.60285
17,16,128,3.01914
18,16,128,3.26848
19,16,128,3.0345
20,16,128,2.96032
21,16,128,2.74115
22,16,128,2.65165
23,16,128,2.77638
24,16,128,2.66384
0,16,256,2.86365
1,16,256,2.42346
2,16,256,2.41104
3,16,256,2.80931
4,16,256,2.62918
5,16,256,2.80531
6,16,256,2.64512
7,16,256,2.72768
8,16,256,2.60784
9,16,256,2.37277
10,16,256,2.52995
11,16,256,2.69466
12,16,256,2.4168
13,16,256,2.83299
14,16,256,2.41907
15,16,256,2.77574
16,16,256,2.78541
17,16,256,2.53734
18,16,256,2.62979
19,16,256,2.64874
20,16,256,2.80544
21,16,256,2.78797
22,16,256,2.78182
23,16,256,2.78666
24,16,256,2.39235
0,16,512,2.37126
1,16,512,2.46016
2,16,512,2.3729
3,16,512,2.45718
4,16,512,2.42518
5,16,512,2.41264
6,16,512,2.3967
7,16,512,2.35962
8,16,512,2.40019
9,16,512,2.41562
10,16,512,2.38202
11,16,512,2.41226
12,16,512,2.35638
13,16,512,2.37395
14,16,512,2.34957
15,16,512,2.38288
16,16,512,2.35424
17,16,512,2.3609
18,16,512,2.38016
19,16,512,2.40675
20,16,512,2.33322
21,16,512,2.40922
22,16,512,2.35651
23,16,512,2.37069
24,16,512,2.39021
0,32,32,3.21277
1,32,32,3.21664
2,32,32,3.26467
3,32,32,3.27718
4,32,32,3.24128
5,32,32,3.22054
6,32,32,3.27504
7,32,32,3.2705
8,32,32,3.31491
9,32,32,3.19354
10,32,32,3.22656
11,32,32,3.21962
12,32,32,3.36358
13,32,32,3.24163
14,32,32,3.20758
15,32,32,3.17213
16,32,32,3.24941
17,32,32,3.1992
18,32,32,3.19706
19,32,32,3.27354
20,32,32,3.18614
21,32,32,3.26995
22,32,32,3.21302
23,32,32,3.27238
24,32,32,3.21597
0,32,64,2.68733
1,32,64,2.6744
2,32,64,2.71178
3,32,64,2.93869
4,32,64,2.64154
5,32,64,2.61901
6,32,64,2.63613
7,32,64,2.68102
8,32,64,2.68771
9,32,64,2.64678
10,32,64,2.66266
11,32,64,2.66307
12,32,64,2.64147
13,32,64,2.75386
14,32,64,2.64934
15,32,64,2.69306
16,32,64,2.6543
17,32,64,2.6248
18,32,64,2.60864
19,32,64,2.61952
20,32,64,2.67978
21,32,64,2.63024
22,32,64,2.58394
23,32,64,2.63635
24,32,64,2.82307
0,32,128,2.77738
1,32,128,2.93085
2,32,128,2.60134
3,32,128,2.50096
4,32,128,2.43149
5,32,128,2.44634
6,32,128,2.49478
7,32,128,2.47344
8,32,128,2.54605
9,32,128,2.46109
10,32,128,2.4759
11,32,128,2.49014
12,32,128,2.44653
13,32,128,2.46131
14,32,128,2.46518
15,32,128,2.42269
16,32,128,2.4737
17,32,128,2.46595
18,32,128,2.44179
19,32,128,2.46362
20,32,128,2.55658
21,32,128,2.4399
22,32,128,2.50378
23,32,128,2.42621
24,32,128,2.48477
0,32,256,2.3992
1,32,256,2.36906
2,32,256,2.3801
3,32,256,2.33958
4,32,256,2.39587
5,32,256,2.36698
6,32,256,2.38042
7,32,256,2.38736
8,32,256,2.38941
9,32,256,2.37354
10,32,256,2.35453
11,32,256,2.33408
12,32,256,2.40912
13,32,256,2.3545
14,32,256,2.42448
15,32,256,2.39037
16,32,256,2.32397
17,32,256,2.4128
18,32,256,2.38934
19,32,256,2.37203
20,32,256,2.36205
21,32,256,2.35037
22,32,256,2.34182
23,32,256,2.35123
24,32,256,2.3993
0,32,512,2.7391
1,32,512,2.72099
2,32,512,2.70006
3,32,512,2.71299
4,32,512,2.71971
5,32,512,2.76054
6,32,512,2.7921
7,32,512,2.73619
8,32,512,2.81696
9,32,512,2.72768
10,32,512,2.74445
11,32,512,2.7272
12,32,512,2.72653
13,32,512,2.73206
14,32,512,2.7121
15,32,512,2.6904
16,32,512,2.74426
17,32,512,2.6497
18,32,512,2.72221
19,32,512,2.74902
20,32,512,2.72874
21,32,512,2.81251
22,32,512,2.9896
23,32,512,2.86624
24,32,512,2.79021
0,64,32,2.64906
1,64,32,2.7135
2,64,32,2.72288
3,64,32,2.67597
4,64,32,2.67178
5,64,32,2.72851
6,64,32,2.67405
7,64,32,2.63395
8,64,32,2.78931
9,64,32,2.67648
10,64,32,2.71136
11,64,32,2.74829
12,64,32,2.65418
13,64,32,2.69472
14,64,32,2.72211
15,64,32,2.70774
16,64,32,2.72445
17,64,32,2.72486
18,64,32,2.65859
19,64,32,2.68013
20,64,32,2.68963
21,64,32,2.73411
22,64,32,2.82902
23,64,32,2.63958
24,64,32,2.6609
0,64,64,2.48893
1,64,64,2.42899
2,64,64,2.43872
3,64,64,2.40202
4,64,64,2.41088
5,64,64,2.44451
6,64,64,2.38458
7,64,64,2.39853
8,64,64,2.43082
9,64,64,2.39027
10,64,64,2.41322
11,64,64,2.43018
12,64,64,2.39315
13,64,64,2.40003
14,64,64,2.4263
15,64,64,2.38845
16,64,64,2.41203
17,64,64,2.41347
18,64,64,2.38896
19,64,64,2.40906
20,64,64,2.41677
21,64,64,2.41043
22,64,64,2.41571
23,64,64,2.43491
24,64,64,2.40352
0,64,128,2.36768
1,64,128,2.36778
2,64,128,2.34931
3,64,128,2.42518
4,64,128,2.40778
5,64,128,2.34666
6,64,128,2.37286
7,64,128,2.31213
8,64,128,2.33619
9,64,128,2.37069
10,64,128,2.32627
11,64,128,2.38115
12,64,128,2.36685
13,64,128,2.34442
14,64,128,2.34691
15,64,128,2.39702
16,64,128,2.35414
17,64,128,2.35491
18,64,128,2.34922
19,64,128,2.36138
20,64,128,2.40528
21,64,128,2.32506
22,64,128,2.37437
23,64,128,2.37741
24,64,128,2.32378
0,64,256,2.72941
1,64,256,2.7601
2,64,256,2.72118
3,64,256,2.74394
4,64,256,2.71469
5,64,256,2.68518
6,64,256,2.7744
7,64,256,2.72896
8,64,256,2.7281
9,64,256,2.79238
10,64,256,2.70598
11,64,256,2.72083
12,64,256,2.71082
13,64,256,2.73334
14,64,256,2.70346
15,64,256,2.6849
16,64,256,2.74835
17,64,256,2.68742
18,64,256,2.73843
19,64,256,2.78125
20,64,256,2.70211
21,64,256,2.82205
22,64,256,2.80131
23,64,256,2.72301
24,64,256,2.7743
0,64,512,2.71046
1,64,512,2.91914
2,64,512,2.9871
3,64,512,3.08509
4,64,512,2.87424
5,64,512,2.73274
6,64,512,2.70832
7,64,512,2.76602
8,64,512,2.72582
9,64,512,2.70429
10,64,512,2.73501
11,64,512,2.68307
12,64,512,2.73066
13,64,512,2.71168
14,64,512,2.67965
15,64,512,2.73405
16,64,512,2.75459
17,64,512,2.7008
18,64,512,2.68573
19,64,512,2.64646
20,64,512,2.73283
21,64,512,2.71062
22,64,512,2.74029
23,64,512,2.73843
24,64,512,2.71363
0,128,32,2.49354
1,128,32,2.50973
2,128,32,2.71619
3,128,32,2.40154
4,128,32,2.46838
5,128,32,2.4743
6,128,32,2.42067
7,128,32,2.48678
8,128,32,2.44643
9,128,32,2.40237
10,128,32,2.41696
11,128,32,2.43939
12,128,32,2.42336
13,128,32,2.45958
14,128,32,2.43584
15,128,32,2.42726
16,128,32,2.46154
17,128,32,2.4185
18,128,32,2.45574
19,128,32,2.47114
20,128,32,2.40227
21,128,32,2.43754
22,128,32,2.46749
23,128,32,2.44048
24,128,32,2.41376
0,128,64,2.38269
1,128,64,2.35168
2,128,64,2.40288
3,128,64,2.41827
4,128,64,2.34771
5,128,64,2.42458
6,128,64,2.39782
7,128,64,2.35242
8,128,64,2.39536
9,128,64,2.42547
10,128,64,2.41706
11,128,64,2.3999
12,128,64,2.47968
13,128,64,2.49514
14,128,64,2.41443
15,128,64,2.35542
16,128,64,2.33629
17,128,64,2.42154
18,128,64,2.43261
19,128,64,2.39501
20,128,64,2.38771
21,128,64,2.34909
22,128,64,2.99578
23,128,64,2.61056
24,128,64,2.71232
0,128,128,2.69018
1,128,128,2.69178
2,128,128,2.6896
3,128,128,2.70816
4,128,128,2.6873
5,128,128,2.7672
6,128,128,2.69197
7,128,128,2.73162
8,128,128,2.70294
9,128,128,2.70739
10,128,128,2.7103
11,128,128,2.71594
12,128,128,2.73226
13,128,128,2.73254
14,128,128,2.70627
15,128,128,2.72454
16,128,128,2.63866
17,128,128,2.71866
18,128,128,2.69603
19,128,128,2.70608
20,128,128,2.75389
21,128,128,2.61674
22,128,128,2.72138
23,128,128,2.72643
24,128,128,2.70768
0,128,256,2.74493
1,128,256,2.90109
2,128,256,2.96221
3,128,256,3.51187
4,128,256,2.89162
5,128,256,2.95782
6,128,256,3.03405
7,128,256,3.11571
8,128,256,3.07968
9,128,256,2.8735
10,128,256,2.77843
11,128,256,2.7632
12,128,256,2.6791
13,128,256,2.72938
14,128,256,2.68586
15,128,256,2.77898
16,128,256,2.76877
17,128,256,2.71782
18,128,256,2.72662
19,128,256,2.76928
20,128,256,2.75462
21,128,256,2.76077
22,128,256,2.74112
23,128,256,2.7681
24,128,256,2.74566
0,128,512,2.74749
1,128,512,2.80115
2,128,512,2.75293
3,128,512,2.75322
4,128,512,2.77059
5,128,512,2.75101
6,128,512,2.75219
7,128,512,2.74419
8,128,512,2.7135
9,128,512,2.77392
10,128,512,2.73427
11,128,512,2.72214
12,128,512,2.73498
13,128,512,2.77014
14,128,512,2.78784
15,128,512,2.76195
16,128,512,3.1928
17,128,512,2.77654
18,128,512,2.75702
19,128,512,2.75837
20,128,512,2.76714
21,128,512,2.77971
22,128,512,2.79952
23,128,512,2.74976
24,128,512,2.73786
0,256,32,2.35846
1,256,32,2.35814
2,256,32,2.35763
3,256,32,2.32829
4,256,32,2.35056
5,256,32,2.33478
6,256,32,2.36624
7,256,32,2.34426
8,256,32,2.27322
9,256,32,2.31334
10,256,32,2.33587
11,256,32,2.3312
12,256,32,2.36896
13,256,32,2.3401
14,256,32,2.34666
15,256,32,2.3632
16,256,32,2.35501
17,256,32,2.34032
18,256,32,2.3607
19,256,32,2.37914
20,256,32,2.33043
21,256,32,2.35968
22,256,32,2.37456
23,256,32,2.37651
24,256,32,2.3272
0,256,64,2.73856
1,256,64,2.75142
2,256,64,3.00384
3,256,64,2.66666
4,256,64,2.73187
5,256,64,2.70122
6,256,64,2.73488
7,256,64,2.74506
8,256,64,2.70042
9,256,64,2.67706
10,256,64,2.78237
11,256,64,2.77344
12,256,64,2.73606
13,256,64,2.69904
14,256,64,2.73664
15,256,64,2.74086
16,256,64,2.75789
17,256,64,2.65728
18,256,64,2.80301
19,256,64,2.72426
20,256,64,2.71779
21,256,64,2.73085
22,256,64,2.79699
23,256,64,2.69459
24,256,64,2.7008
0,256,128,2.75971
1,256,128,2.69709
2,256,128,2.74211
3,256,128,2.76358
4,256,128,2.7488
5,256,128,2.7609
6,256,128,2.74464
7,256,128,2.70051
8,256,128,2.68976
9,256,128,2.71206
10,256,128,2.73654
11,256,128,2.75024
12,256,128,2.6777
13,256,128,2.71789
14,256,128,2.76141
15,256,128,2.74528
16,256,128,2.75002
17,256,128,2.71309
18,256,128,2.75898
19,256,128,2.77277
20,256,128,2.71024
21,256,128,2.75536
22,256,128,2.72957
23,256,128,2.73747
24,256,128,2.75875
0,256,256,2.81258
1,256,256,2.76058
2,256,256,2.72928
3,256,256,2.68355
4,256,256,2.7552
5,256,256,2.76419
6,256,256,2.76032
7,256,256,2.76189
8,256,256,2.71235
9,256,256,2.73616
10,256,256,2.74944
11,256,256,2.76173
12,256,256,3.0232
13,256,256,2.76131
