N,Nx,nrun,runtime
8388608,524288,22,2.984687491
8388608,524288,18,2.970225166
8388608,524288,8,2.994749326
8388608,524288,7,3.00069485
8388608,524288,24,2.967491782
8388608,524288,14,2.977769361
8388608,524288,5,2.990273193
8388608,524288,4,3.004108779
8388608,524288,13,2.983353571
8388608,524288,1,2.979215881
8388608,524288,19,2.966703449
8388608,524288,11,2.980778474
8388608,524288,12,2.976001509
8388608,524288,6,2.97041145
8388608,524288,9,2.968678859
8388608,524288,17,2.989216045
8388608,524288,3,2.974700726
8388608,524288,10,2.976242194
8388608,524288,2,2.972331288
8388608,524288,15,2.969998816
8388608,524288,20,2.984447537
8388608,524288,16,2.973538571
8388608,524288,25,2.972093877
8388608,524288,21,2.97729316
8388608,524288,23,2.974525868
8388608,2097152,22,4.114544181
8388608,2097152,18,4.123425726
8388608,2097152,8,4.117585163
8388608,2097152,7,4.133257537
8388608,2097152,24,4.115926593
8388608,2097152,14,4.144928379
8388608,2097152,5,4.130796781
8388608,2097152,4,4.119255481
8388608,2097152,13,4.133053927
8388608,2097152,1,4.147658557
8388608,2097152,19,4.145191329
8388608,2097152,11,4.161492666
8388608,2097152,12,4.129413443
8388608,2097152,6,4.12128519
8388608,2097152,9,4.109007513
8388608,2097152,17,4.114691429
8388608,2097152,3,4.123962627
8388608,2097152,10,4.131096298
8388608,2097152,2,4.162451068
8388608,2097152,15,4.128025585
8388608,2097152,20,4.124671192
8388608,2097152,16,4.105970421
8388608,2097152,25,4.124974904
8388608,2097152,21,4.106446748
8388608,2097152,23,4.136605277
8388608,4096,22,1.590725152
8388608,4096,18,1.591924218
8388608,4096,8,1.586067677
8388608,4096,7,1.597676861
8388608,4096,24,1.595844083
8388608,4096,14,1.589302849
8388608,4096,5,1.589210838
8388608,4096,4,1.591987478
8388608,4096,13,1.586807882
8388608,4096,1,1.587008611
8388608,4096,19,1.59128579
8388608,4096,11,1.583977331
8388608,4096,12,1.587455786
8388608,4096,6,1.597438222
8388608,4096,9,1.601537359
8388608,4096,17,1.588078199
8388608,4096,3,1.589992342
8388608,4096,10,1.602453798
8388608,4096,2,1.603737615
8388608,4096,15,1.593326742
8388608,4096,20,1.600955252
8388608,4096,16,1.582859509
8388608,4096,25,1.598848353
8388608,4096,21,1.591326583
8388608,4096,23,1.587350078
8388608,8388608,22,5.993479905
8388608,8388608,18,6.05791885
8388608,8388608,8,6.029364818
8388608,8388608,7,6.015594206
8388608,8388608,24,5.979745049
8388608,8388608,14,6.040408436
8388608,8388608,5,6.008457578
8388608,8388608,4,6.033173569
8388608,8388608,13,5.984842811
8388608,8388608,1,5.98162038
8388608,8388608,19,6.043177811
8388608,8388608,11,6.019909823
8388608,8388608,12,5.976855045
8388608,8388608,6,5.97046599
8388608,8388608,9,6.044292401
8388608,8388608,17,5.979051326
8388608,8388608,3,5.990539747
8388608,8388608,10,6.067982062
8388608,8388608,2,5.989926805
8388608,8388608,15,6.026758328
8388608,8388608,20,5.949630374
8388608,8388608,16,5.968278377
8388608,8388608,25,5.986475116
8388608,8388608,21,5.97976032
8388608,8388608,23,6.036195991
8388608,32768,22,2.062748353
8388608,32768,18,2.066807258
8388608,32768,8,2.087767042
8388608,32768,7,2.08241704
8388608,32768,24,2.065539558
8388608,32768,14,2.051130581
8388608,32768,5,2.083461225
8388608,32768,4,2.086613119
8388608,32768,13,2.070413843
8388608,32768,1,2.07010746
8388608,32768,19,2.063418806
8388608,32768,11,2.062968078
8388608,32768,12,2.051461427
8388608,32768,6,2.064298498
8388608,32768,9,2.049447413
8388608,32768,17,2.062188733
8388608,32768,3,2.063443572
8388608,32768,10,2.062442858
8388608,32768,2,2.059427555
8388608,32768,15,2.078483361
8388608,32768,20,2.056441903
8388608,32768,16,2.068376796
8388608,32768,25,2.085384867
8388608,32768,21,2.057926004
8388608,32768,23,2.060510094
8388608,8192,22,1.75246836
8388608,8192,18,1.744790978
8388608,8192,8,1.742673535
8388608,8192,7,1.739977883
8388608,8192,24,1.754710857
8388608,8192,14,1.784216223
8388608,8192,5,1.733161819
8388608,8192,4,1.733996617
8388608,8192,13,1.751408097
8388608,8192,1,1.752889177
8388608,8192,19,1.743097543
8388608,8192,11,1.741805554
8388608,8192,12,1.744689547
8388608,8192,6,1.750960619
8388608,8192,9,1.744726685
8388608,8192,17,1.752552399
8388608,8192,3,1.744596862
8388608,8192,10,1.733439054
8388608,8192,2,1.762813748
8388608,8192,15,1.745633746
8388608,8192,20,1.741604356
8388608,8192,16,1.746987813
8388608,8192,25,1.740304151
8388608,8192,21,1.736909756
8388608,8192,23,1.754955427
8388608,65536,22,2.331232811
8388608,65536,18,2.314175141
8388608,65536,8,2.313786504
8388608,65536,7,2.324818279
8388608,65536,24,2.330690524
8388608,65536,14,2.340955323
8388608,65536,5,2.343798078
8388608,65536,4,2.31428165
8388608,65536,13,2.333355384
8388608,65536,1,2.326435841
8388608,65536,19,2.324420577
8388608,65536,11,2.334230851
8388608,65536,12,2.320870838
8388608,65536,6,2.345403942
8388608,65536,9,2.324576972
8388608,65536,17,2.320350962
8388608,65536,3,2.318512527
8388608,65536,10,2.332150554
8388608,65536,2,2.329417967
8388608,65536,15,2.312502053
8388608,65536,20,2.337306115
8388608,65536,16,2.307768029
8388608,65536,25,2.318695471
8388608,65536,21,2.31121703
