N,Nx,num_blocks,num_threads_per_block,runtime-avg,runtime-std,eff-bandwidth,eff-bw-std,speedup,speedup-std
524288,33554432,8,32,6017.426799999999,7.654384212114373,0.0250914106702486,0.0058036421588589,0.0973369019196045,0.000485042166529
262144,33554432,8,32,3009.0144,0.6576351572110266,0.0250951220890827,0.0013104269031238,0.1177692787777951,0.0006870500504917
131072,33554432,8,32,1504.7884,1.0521988088442868,0.0250787896396649,0.0026645365273594,0.1574612936410195,0.0008915114654881
524288,33554432,16,32,3104.4976,6.397232005589107,0.048634512398064,0.0058036421588589,0.1886674617625731,0.0010180013917682
524288,33554432,8,64,3102.5696000000003,6.947037426126334,0.048664734875556,0.0058036421588589,0.188784703569583,0.0010938616113913
262144,33554432,16,32,1552.5852,0.6065484317018821,0.0486360321712509,0.0013104269031238,0.228244772473678,0.001313675925572
262144,33554432,8,64,1553.006,2.8253111922995875,0.0486228538304475,0.0013104269031238,0.2281829276383992,0.0013283945061701
65536,33554432,8,32,754.03368,4.771262478981143,0.0250293218148664,0.0022617714347369,0.2368256124050055,0.0015643024314068
131072,33554432,8,64,777.0994800000001,1.6072144671242157,0.0485629867308726,0.0026645365273594,0.3049106764554777,0.0015864583229214
131072,33554432,16,32,777.8191199999998,0.3800024473605316,0.0485180561462773,0.0026645365273594,0.3046285724115397,0.0017030018374978
524288,33554432,16,64,1580.478,0.4536794022214408,0.0955316853616184,0.0058036421588589,0.3705952770237865,0.00183385965469
524288,33554432,8,128,1580.2463999999998,0.4900584999092799,0.095545686430268,0.0058036421588589,0.3706495912536172,0.0018566532714187
524288,33554432,32,32,1580.0199999999998,0.9094412203838712,0.0955593771072265,0.0058036421588589,0.3707027013835268,0.0018871833612062
65536,33554432,8,64,388.8276,0.3111903222574023,0.0485380966679525,0.0022617714347369,0.459263920668183,0.00200270559119
65536,33554432,16,32,389.2132,0.2110392933397378,0.0484900091671299,0.0022617714347369,0.4588089202524478,0.0021712613777308
32768,33554432,8,32,377.75576,0.5204378989530586,0.0249862083348245,0.001449115282222,0.3973412607130067,0.0025461800660693
