nrun,num_blocks,num_threads_per_block,taukern
0,8,32,1217.04
1,8,32,1216.65
2,8,32,1217.49
3,8,32,1216.73
4,8,32,1216.74
5,8,32,1216.47
6,8,32,1217.38
7,8,32,1216.87
8,8,32,1216.76
9,8,32,1216.61
10,8,32,1217.54
11,8,32,1217.5
12,8,32,1216.83
13,8,32,1216.7
14,8,32,1217.62
15,8,32,1216.77
16,8,32,1216.82
17,8,32,1216.6
18,8,32,1217.04
19,8,32,1217.73
20,8,32,1216.61
21,8,32,1217.08
22,8,32,1217.42
23,8,32,1216.65
24,8,32,1216.63
0,8,64,611.174
1,8,64,610.628
2,8,64,611.293
3,8,64,611.039
4,8,64,612.288
5,8,64,611.167
6,8,64,612.014
7,8,64,610.737
8,8,64,611.918
9,8,64,610.9
10,8,64,611.086
11,8,64,611.625
12,8,64,611.489
13,8,64,611.333
14,8,64,612.699
15,8,64,610.393
16,8,64,610.309
17,8,64,612.133
18,8,64,610.97
19,8,64,610.928
20,8,64,611.667
21,8,64,611.504
22,8,64,613.503
23,8,64,611.17
24,8,64,612.067
0,8,128,307.987
1,8,128,307.533
2,8,128,307.295
3,8,128,307.544
4,8,128,307.28
5,8,128,308.353
6,8,128,307.435
7,8,128,308.028
8,8,128,307.346
9,8,128,307.138
10,8,128,307.265
11,8,128,307.328
12,8,128,307.8
13,8,128,308.044
14,8,128,306.904
15,8,128,308.31
16,8,128,307.304
17,8,128,307.222
18,8,128,307.296
19,8,128,307.689
20,8,128,307.311
21,8,128,307.11
22,8,128,307.295
23,8,128,307.215
24,8,128,307.197
0,8,256,158.385
1,8,256,162.725
2,8,256,158.251
3,8,256,158.237
4,8,256,158.968
5,8,256,159.05
6,8,256,158.275
7,8,256,158.287
8,8,256,158.146
9,8,256,158.606
10,8,256,158.742
11,8,256,159
12,8,256,158.281
13,8,256,158.199
14,8,256,158.211
15,8,256,159.137
16,8,256,158.249
17,8,256,159.671
18,8,256,159.148
19,8,256,158.316
20,8,256,158.209
21,8,256,158.381
22,8,256,176.242
23,8,256,161.996
24,8,256,159.096
0,8,512,87.6246
1,8,512,87.6193
2,8,512,87.5646
3,8,512,87.6481
4,8,512,87.5544
5,8,512,88.3527
6,8,512,87.6642
7,8,512,87.5937
8,8,512,87.6659
9,8,512,88.454
10,8,512,87.6732
11,8,512,88.2959
12,8,512,87.7152
13,8,512,87.7548
14,8,512,87.5874
15,8,512,87.6596
16,8,512,89.1897
17,8,512,87.6124
18,8,512,87.676
19,8,512,87.8048
20,8,512,87.6842
21,8,512,87.6376
22,8,512,87.6343
23,8,512,87.6505
24,8,512,89.262
0,16,32,611.721
1,16,32,610.553
2,16,32,610.51
3,16,32,611.393
4,16,32,610.654
5,16,32,611.132
6,16,32,610.498
7,16,32,610.496
8,16,32,611.604
9,16,32,611.264
10,16,32,612.041
11,16,32,610.756
12,16,32,610.421
13,16,32,612.02
14,16,32,610.762
15,16,32,610.555
16,16,32,611.095
17,16,32,610.755
18,16,32,610.921
19,16,32,611.385
20,16,32,612.023
21,16,32,611.463
22,16,32,611.849
23,16,32,610.46
24,16,32,610.584
0,16,64,307.991
1,16,64,307.439
2,16,64,307.473
3,16,64,307.421
4,16,64,307.44
5,16,64,307.877
6,16,64,307.96
7,16,64,307.265
8,16,64,307.321
9,16,64,307.401
10,16,64,307.424
11,16,64,307.936
12,16,64,307.936
13,16,64,307.215
14,16,64,307.061
15,16,64,307.237
16,16,64,307.217
17,16,64,307.209
18,16,64,307.201
19,16,64,307.509
20,16,64,308.517
21,16,64,307.86
22,16,64,307.344
23,16,64,307.658
24,16,64,307.589
0,16,128,159.006
1,16,128,158.306
2,16,128,158.462
3,16,128,158.223
4,16,128,158.3
5,16,128,158.622
6,16,128,158.364
7,16,128,158.12
8,16,128,158.21
9,16,128,158.285
10,16,128,158.954
11,16,128,158.298
12,16,128,158.253
13,16,128,158.08
14,16,128,158.234
15,16,128,158.293
16,16,128,158.204
17,16,128,158.336
18,16,128,158.943
19,16,128,158.171
20,16,128,158.241
21,16,128,158.274
22,16,128,158.212
23,16,128,158.303
24,16,128,158.24
0,16,256,87.6793
1,16,256,87.9009
2,16,256,87.6584
3,16,256,87.6572
4,16,256,88.3801
5,16,256,87.861
6,16,256,87.6564
7,16,256,87.7351
8,16,256,87.7077
9,16,256,87.7656
10,16,256,88.3104
11,16,256,87.7705
12,16,256,87.6293
13,16,256,87.6597
14,16,256,87.6998
15,16,256,88.406
16,16,256,87.6441
17,16,256,87.5972
18,16,256,87.5881
19,16,256,87.5647
20,16,256,87.6286
21,16,256,87.9748
22,16,256,87.7513
23,16,256,88.3674
24,16,256,87.7756
0,16,512,69.236
1,16,512,69.1239
2,16,512,69.916
3,16,512,69.8313
4,16,512,69.0305
5,16,512,69.0844
6,16,512,68.9382
7,16,512,69.0156
8,16,512,69.0811
9,16,512,69.085
10,16,512,69.0309
11,16,512,69.1072
12,16,512,69.7099
13,16,512,69.6256
14,16,512,68.9379
15,16,512,69.0375
16,16,512,69.0443
17,16,512,69.7917
18,16,512,69.054
19,16,512,69.0506
20,16,512,69.0243
21,16,512,69.0643
22,16,512,69.0578
23,16,512,69.0487
24,16,512,69.0953
0,32,32,307.226
1,32,32,307.761
2,32,32,307.413
3,32,32,307.354
4,32,32,307.394
5,32,32,308.191
6,32,32,307.395
7,32,32,307.198
8,32,32,307.247
9,32,32,307.532
10,32,32,308.205
11,32,32,307.551
12,32,32,307.5
13,32,32,307.384
14,32,32,307.197
15,32,32,308.072
16,32,32,307.647
17,32,32,307.366
18,32,32,307.228
19,32,32,307.289
20,32,32,307.918
21,32,32,307.722
22,32,32,307.135
23,32,32,307.119
24,32,32,307.828
0,32,64,158.356
1,32,64,158.282
2,32,64,158.148
3,32,64,159.845
4,32,64,159.076
5,32,64,158.251
6,32,64,158.27
7,32,64,158.222
8,32,64,158.271
9,32,64,158.949
10,32,64,158.286
11,32,64,158.25
12,32,64,158.249
13,32,64,158.195
14,32,64,159.693
15,32,64,159.714
16,32,64,158.305
17,32,64,158.345
18,32,64,158.23
19,32,64,159.067
20,32,64,158.283
21,32,64,158.234
22,32,64,158.496
23,32,64,158.215
24,32,64,158.259
0,32,128,87.6757
1,32,128,87.731
2,32,128,87.5724
3,32,128,88.4268
4,32,128,87.557
5,32,128,87.644
6,32,128,87.5149
7,32,128,87.6624
8,32,128,87.6113
9,32,128,87.6402
10,32,128,88.2887
11,32,128,88.4465
12,32,128,87.596
13,32,128,87.617
14,32,128,87.5233
15,32,128,87.7374
16,32,128,88.1291
17,32,128,88.5274
18,32,128,88.5172
19,32,128,87.8293
20,32,128,87.7175
21,32,128,87.7863
22,32,128,87.626
23,32,128,88.4271
24,32,128,88.4279
0,32,256,68.9472
1,32,256,69.0563
2,32,256,69.0827
3,32,256,68.867
4,32,256,69.7713
5,32,256,69.8255
6,32,256,69.0649
7,32,256,69.1671
8,32,256,69.0369
9,32,256,69.0324
10,32,256,68.9741
11,32,256,68.9277
12,32,256,69.0808
13,32,256,69.943
14,32,256,69.0329
15,32,256,69.0314
16,32,256,69.1021
17,32,256,69.0407
18,32,256,69.1766
19,32,256,69.0866
20,32,256,69.0508
21,32,256,69.8617
22,32,256,69.0311
23,32,256,68.967
24,32,256,69.0873
0,32,512,68.6804
1,32,512,68.5721
2,32,512,68.8287
3,32,512,69.3501
4,32,512,69.3545
5,32,512,68.5614
6,32,512,68.5833
7,32,512,68.8297
8,32,512,69.3364
9,32,512,68.7885
10,32,512,68.6596
11,32,512,68.5241
12,32,512,69.2696
13,32,512,68.6641
14,32,512,68.588
15,32,512,68.5853
16,32,512,69.3025
17,32,512,68.6445
18,32,512,68.5691
19,32,512,68.5882
20,32,512,68.5766
21,32,512,68.5908
22,32,512,69.3359
23,32,512,69.3562
24,32,512,68.6976
0,64,32,158.357
1,64,32,158.297
2,64,32,158.176
3,64,32,159.139
4,64,32,158.347
5,64,32,158.229
6,64,32,158.264
7,64,32,158.318
8,64,32,159.037
9,64,32,159.081
10,64,32,158.22
11,64,32,158.301
12,64,32,158.203
13,64,32,158.313
14,64,32,158.288
15,64,32,158.975
16,64,32,159.177
17,64,32,159.924
18,64,32,158.224
19,64,32,158.522
20,64,32,159.028
21,64,32,159.026
22,64,32,158.18
23,64,32,158.297
24,64,32,158.247
0,64,64,88.5724
1,64,64,87.7779
2,64,64,87.8482
3,64,64,88.3849
4,64,64,88.3242
5,64,64,87.6589
6,64,64,87.6153
7,64,64,87.6769
8,64,64,87.7179
9,64,64,87.6032
10,64,64,87.8857
11,64,64,88.4933
12,64,64,88.4334
13,64,64,87.682
14,64,64,87.716
15,64,64,87.6049
16,64,64,87.7229
17,64,64,87.7104
18,64,64,88.0152
19,64,64,88.4355
20,64,64,87.6679
21,64,64,87.6874
22,64,64,87.8902
23,64,64,88.3858
24,64,64,88.471
0,64,128,70.0538
1,64,128,68.9932
2,64,128,68.9177
3,64,128,69.1412
4,64,128,69.7532
5,64,128,69.7416
6,64,128,69.0653
7,64,128,69.0069
8,64,128,69.019
9,64,128,69.0201
10,64,128,69.0371
11,64,128,69.0441
12,64,128,68.9792
13,64,128,68.9815
14,64,128,69.6489
15,64,128,69.0305
16,64,128,69.0285
17,64,128,69.0001
18,64,128,68.9469
19,64,128,69.7612
20,64,128,69.04
21,64,128,69.057
22,64,128,68.9822
23,64,128,68.9932
24,64,128,69.0593
0,64,256,69.3403
1,64,256,69.3572
2,64,256,68.651
3,64,256,68.5736
4,64,256,68.5502
5,64,256,68.8176
6,64,256,70.4995
7,64,256,69.3682
8,64,256,70.1671
9,64,256,69.5143
10,64,256,68.5595
11,64,256,68.5362
12,64,256,68.5628
13,64,256,68.5535
14,64,256,69.2857
15,64,256,69.3388
16,64,256,68.6059
17,64,256,68.5938
18,64,256,68.5714
19,64,256,68.5883
20,64,256,68.6523
21,64,256,68.8189
22,64,256,69.4071
23,64,256,68.5969
24,64,256,68.6122
0,64,512,69.0033
1,64,512,69.0146
2,64,512,72.0696
3,64,512,68.9595
4,64,512,68.7591
5,64,512,70.2561
6,64,512,68.8195
7,64,512,68.8251
8,64,512,68.7685
9,64,512,69.0361
10,64,512,70.265
11,64,512,68.8108
12,64,512,68.783
13,64,512,69.5537
14,64,512,69.5883
15,64,512,68.7873
16,64,512,68.8227
17,64,512,70.3385
18,64,512,68.8313
19,64,512,68.8553
20,64,512,68.8235
21,64,512,68.8234
22,64,512,70.3213
23,64,512,69.0547
24,64,512,68.9007
0,128,32,87.7427
1,128,32,87.7634
2,128,32,87.7897
3,128,32,87.5514
4,128,32,87.6863
5,128,32,87.5891
6,128,32,88.5074
7,128,32,88.5276
8,128,32,87.6505
9,128,32,87.6805
10,128,32,87.6569
11,128,32,88.5928
12,128,32,88.3811
13,128,32,88.4459
14,128,32,87.8138
15,128,32,87.6447
16,128,32,87.6657
17,128,32,87.6541
18,128,32,87.6431
19,128,32,87.6741
20,128,32,88.4607
21,128,32,88.0619
22,128,32,87.678
23,128,32,87.542
24,128,32,87.8468
0,128,64,69.8621
1,128,64,69.1866
2,128,64,69.5418
3,128,64,69.8507
4,128,64,69.125
5,128,64,69.0055
6,128,64,69.003
7,128,64,69.0725
8,128,64,69.7678
9,128,64,69.7062
10,128,64,69.0446
11,128,64,68.9798
12,128,64,68.9686
13,128,64,68.9811
14,128,64,69.2875
15,128,64,69.6825
16,128,64,69.8251
17,128,64,69.0207
18,128,64,69.0499
19,128,64,69.0107
20,128,64,69.7975
21,128,64,69.103
22,128,64,68.9537
23,128,64,69.105
24,128,64,69.0992
0,128,128,68.9517
1,128,128,68.8244
2,128,128,69.3147
3,128,128,68.5366
4,128,128,68.552
5,128,128,68.5636
6,128,128,69.4968
7,128,128,68.7363
8,128,128,68.7211
9,128,128,68.5241
10,128,128,68.6632
11,128,128,68.6831
12,128,128,69.3453
13,128,128,68.5573
14,128,128,68.5048
15,128,128,68.5429
16,128,128,68.5605
17,128,128,69.1519
18,128,128,68.7043
19,128,128,69.2671
20,128,128,68.5868
21,128,128,68.5772
22,128,128,68.5112
23,128,128,68.6757
24,128,128,69.2991
0,128,256,69.2912
1,128,256,71.1024
2,128,256,68.9463
3,128,256,71.6662
4,128,256,68.925
5,128,256,69.2209
6,128,256,68.8613
7,128,256,69.5874
8,128,256,68.9195
9,128,256,68.907
10,128,256,69.551
11,128,256,70.335
12,128,256,68.8002
13,128,256,68.7915
14,128,256,68.8036
15,128,256,68.8792
16,128,256,68.8338
17,128,256,69.1529
18,128,256,69.1769
19,128,256,69.5536
20,128,256,68.8428
21,128,256,68.9492
22,128,256,70.4344
23,128,256,68.8517
24,128,256,69.0791
0,128,512,69.3491
1,128,512,70.6795
2,128,512,72.2599
3,128,512,69.3253
4,128,512,69.2887
5,128,512,71.1755
6,128,512,69.5195
7,128,512,71.7363
8,128,512,69.3494
9,128,512,71.5305
10,128,512,69.5649
11,128,512,70.6368
12,128,512,69.2299
13,128,512,69.3979
14,128,512,70.877
15,128,512,69.3859
16,128,512,71.3525
17,128,512,70.3279
18,128,512,69.3608
19,128,512,71.5599
20,128,512,69.4595
21,128,512,71.7248
22,128,512,69.3017
23,128,512,70.4777
24,128,512,69.1793
0,256,32,69.7837
1,256,32,69.0606
2,256,32,69.0263
3,256,32,68.9357
4,256,32,68.9726
5,256,32,68.988
6,256,32,69.1028
7,256,32,69.6469
8,256,32,69.1494
9,256,32,69.7724
10,256,32,69.02
11,256,32,68.9937
12,256,32,69.4313
13,256,32,69.8378
14,256,32,69.0198
15,256,32,69.0192
16,256,32,68.9755
17,256,32,69.7189
18,256,32,69.8069
19,256,32,69.0204
20,256,32,68.998
21,256,32,69.022
22,256,32,68.9549
23,256,32,69.0846
24,256,32,69.7167
0,256,64,68.5668
1,256,64,68.5147
2,256,64,68.5512
3,256,64,68.9883
4,256,64,68.6649
5,256,64,69.3254
6,256,64,68.5447
7,256,64,68.5141
8,256,64,68.5915
9,256,64,68.6027
10,256,64,68.5486
11,256,64,68.5628
12,256,64,69.2821
13,256,64,69.3658
14,256,64,68.601
15,256,64,68.497
16,256,64,68.5574
17,256,64,68.5374
18,256,64,68.5316
19,256,64,68.9188
20,256,64,69.2865
21,256,64,68.6293
22,256,64,68.5939
23,256,64,68.5766
24,256,64,68.6231
0,256,128,68.765
1,256,128,68.828
2,256,128,70.2815
3,256,128,68.7623
4,256,128,68.7595
5,256,128,69.505
6,256,128,70.3916
7,256,128,68.8808
8,256,128,68.9528
9,256,128,70.681
10,256,128,68.8661
11,256,128,68.7931
12,256,128,69.5002
13,256,128,69.6998
14,256,128,68.7619
15,256,128,68.8214
16,256,128,68.796
17,256,128,69.4939
18,256,128,68.8183
19,256,128,68.8412
20,256,128,70.3484
21,256,128,68.9996
22,256,128,70.2836
23,256,128,68.8392
24,256,128,68.7769
0,256,256,69.2743
1,256,256,71.493
2,256,256,69.8489
3,256,256,69.9943
4,256,256,70.0795
5,256,256,70.1289
6,256,256,70.583
7,256,256,69.3717
8,256,256,70.758
9,256,256,69.3342
10,256,256,71.2888
11,256,256,69.338
12,256,256,70.5377
13,256,256,70.84
14,256,256,70.2152
15,256,256,69.2798
16,256,256,70.8695
17,256,256,69.334
18,256,256,71.1854
19,256,256,69.6478
20,256,256,69.306
21,256,256,70.9254
22,256,256,69.2599
23,256,256,69.4054
24,256,256,70.7442
0,256,512,69.8647
1,256,512,71.4085
2,256,512,70.9478
3,256,512,70.9146
4,256,512,70.9788
5,256,512,71.5721
6,256,512,71.5592
7,256,512,69.8269
8,256,512,71.6635
9,256,512,70.0349
