num_run,N,host_runtime [ms]
26.0,128.0,0.28500000000000003
1.0,128.0,0.229
19.0,128.0,0.191
14.0,128.0,0.336
18.0,128.0,0.184
5.0,128.0,0.17300000000000001
4.0,128.0,0.229
7.0,128.0,0.20500000000000002
32.0,128.0,0.17300000000000001
21.0,128.0,0.24
25.0,128.0,0.185
29.0,128.0,0.192
28.0,128.0,0.156
31.0,128.0,0.128
16.0,128.0,0.259
20.0,128.0,0.17500000000000002
24.0,128.0,0.154
17.0,128.0,0.187
13.0,128.0,0.261
22.0,128.0,0.166
6.0,128.0,0.225
23.0,128.0,0.20800000000000002
11.0,128.0,0.254
9.0,128.0,0.20800000000000002
12.0,128.0,0.234
15.0,128.0,0.191
10.0,128.0,0.20700000000000002
30.0,128.0,0.2
2.0,128.0,0.23500000000000001
27.0,128.0,0.165
3.0,128.0,0.203
8.0,128.0,0.193
