num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms],host_runtime [ms]
1,16,30,30,32,32,0.023872,0.517
1,16,30,30,32,64,0.023072,0.324
1,16,30,30,32,128,0.022912,0.624
1,16,30,30,32,256,0.021696,0.47800000000000004
1,16,30,30,32,512,0.022688,0.301
1,16,30,30,32,1024,0.023296,0.517
1,16,30,30,64,32,0.021792,0.28400000000000003
1,16,30,30,64,64,0.021152,0.37
1,16,30,30,64,128,0.022208,0.3
1,16,30,30,64,256,0.021344,0.322
1,16,30,30,64,512,0.0232,0.468
1,16,30,30,64,1024,0.021088,0.281
1,16,30,30,128,32,0.022688,0.37
1,16,30,30,128,64,0.022816,0.41400000000000003
1,16,30,30,128,128,0.0224,0.518
1,16,30,30,128,256,0.022784,0.624
1,16,30,30,128,512,0.022624,0.463
1,16,30,30,128,1024,0.02256,0.581
1,16,30,30,256,32,0.021472,0.618
1,16,30,30,256,64,0.023936,0.34
1,16,30,30,256,128,0.021536,0.386
1,16,30,30,256,256,0.0136,0.592
1,16,30,30,256,512,0.024736,0.295
1,16,30,30,256,1024,0.02384,0.40700000000000003
1,16,30,30,512,32,0.02432,0.302
1,16,30,30,512,64,0.02384,0.325
1,16,30,30,512,128,0.023392,0.467
1,16,30,30,512,256,0.023456,0.28600000000000003
1,16,30,30,512,512,0.021536,0.281
1,16,30,30,512,1024,0.022208,0.515
1,16,30,30,1024,32,0.023744,0.515
1,16,30,30,1024,64,0.02144,0.387
1,16,30,30,1024,128,0.022432,0.267
1,16,30,30,1024,256,0.016896,0.41300000000000003
1,16,30,30,1024,512,0.017408,0.378
1,16,30,30,1024,1024,0.024448,0.649
1,16,30,60,32,32,0.043712,0.394
1,16,30,60,32,64,0.021312,0.465
1,16,30,60,32,128,0.0128,0.626
1,16,30,60,32,256,0.02128,0.666
1,16,30,60,32,512,0.020768,0.53
1,16,30,60,32,1024,0.022176,0.417
1,16,30,60,64,32,0.0232,0.41500000000000004
1,16,30,60,64,64,0.020736,0.536
1,16,30,60,64,128,0.020384,0.371
1,16,30,60,64,256,0.02064,0.6950000000000001
1,16,30,60,64,512,0.020864,0.647
1,16,30,60,64,1024,0.018784,0.629
1,16,30,60,128,32,0.023232,0.327
1,16,30,60,128,64,0.020736,0.461
1,16,30,60,128,128,0.020928,0.512
1,16,30,60,128,256,0.022528,0.467
1,16,30,60,128,512,0.022112,0.53
1,16,30,60,128,1024,0.022656,0.26
1,16,30,60,256,32,0.020384,0.498
1,16,30,60,256,64,0.021408,0.653
1,16,30,60,256,128,0.020608,0.321
1,16,30,60,256,256,0.02112,0.553
1,16,30,60,256,512,0.021312,0.34600000000000003
1,16,30,60,256,1024,0.0232,0.397
1,16,30,60,512,32,0.022848,0.406
1,16,30,60,512,64,0.02304,0.467
1,16,30,60,512,128,0.021568,0.34700000000000003
1,16,30,60,512,256,0.021152,0.299
1,16,30,60,512,512,0.02352,0.616
1,16,30,60,512,1024,0.02208,0.58
1,16,30,60,1024,32,0.022048,0.41300000000000003
1,16,30,60,1024,64,0.02304,0.562
1,16,30,60,1024,128,0.022176,0.481
1,16,30,60,1024,256,0.019456,0.497
1,16,30,60,1024,512,0.021216,0.40800000000000003
1,16,30,60,1024,1024,0.020608,0.518
1,16,30,120,32,32,0.06016,0.621
1,16,30,120,32,64,0.021952,0.253
1,16,30,120,32,128,0.022592,0.507
1,16,30,120,32,256,0.020704,0.331
1,16,30,120,32,512,0.021216,0.709
1,16,30,120,32,1024,0.020896,0.559
1,16,30,120,64,32,0.02064,0.341
1,16,30,120,64,64,0.021312,0.263
1,16,30,120,64,128,0.020384,0.638
1,16,30,120,64,256,0.01264,0.301
1,16,30,120,64,512,0.020832,0.5730000000000001
1,16,30,120,64,1024,0.02128,0.46
1,16,30,120,128,32,0.025664,0.405
1,16,30,120,128,64,0.021376,0.532
1,16,30,120,128,128,0.021312,0.276
1,16,30,120,128,256,0.022528,0.41600000000000004
1,16,30,120,128,512,0.02064,0.739
1,16,30,120,128,1024,0.022848,0.43
1,16,30,120,256,32,0.022144,0.521
1,16,30,120,256,64,0.022144,0.508
1,16,30,120,256,128,0.02096,0.6930000000000001
1,16,30,120,256,256,0.022368,0.492
1,16,30,120,256,512,0.022816,0.656
1,16,30,120,256,1024,0.022464,0.405
1,16,30,120,512,32,0.022368,0.493
1,16,30,120,512,64,0.022592,0.58
1,16,30,120,512,128,0.022848,0.607
1,16,30,120,512,256,0.020736,0.558
1,16,30,120,512,512,0.021024,0.493
1,16,30,120,512,1024,0.021184,0.591
1,16,30,120,1024,32,0.037344,0.418
1,16,30,120,1024,64,0.021568,0.28700000000000003
1,16,30,120,1024,128,0.021888,0.259
1,16,30,120,1024,256,0.020544,0.592
1,16,30,120,1024,512,0.012832,0.654
1,16,30,120,1024,1024,0.023648,0.686
1,16,30,240,32,32,0.092992,0.522
1,16,30,240,32,64,0.02208,0.584
1,16,30,240,32,128,0.023456,0.252
1,16,30,240,32,256,0.021952,0.433
1,16,30,240,32,512,0.023328,0.358
1,16,30,240,32,1024,0.023296,0.296
1,16,30,240,64,32,0.02144,0.541
1,16,30,240,64,64,0.023136,0.447
1,16,30,240,64,128,0.0224,0.61
1,16,30,240,64,256,0.020576,0.41600000000000004
1,16,30,240,64,512,0.022848,0.465
1,16,30,240,64,1024,0.014272,0.339
1,16,30,240,128,32,0.02224,0.714
1,16,30,240,128,64,0.020928,0.40900000000000003
1,16,30,240,128,128,0.0208,0.553
1,16,30,240,128,256,0.021184,0.542
1,16,30,240,128,512,0.023584,0.487
1,16,30,240,128,1024,0.02176,0.365
1,16,30,240,256,32,0.020576,0.534
1,16,30,240,256,64,0.020896,0.501
1,16,30,240,256,128,0.020448,0.505
1,16,30,240,256,256,0.02336,0.267
1,16,30,240,256,512,0.024096,0.383
1,16,30,240,256,1024,0.020224,0.324
1,16,30,240,512,32,0.020864,0.384
1,16,30,240,512,64,0.021248,0.425
1,16,30,240,512,128,0.023456,0.723
1,16,30,240,512,256,0.014464,0.301
1,16,30,240,512,512,0.020288,0.468
1,16,30,240,512,1024,0.022816,0.498
1,16,30,240,1024,32,0.020928,0.55
1,16,30,240,1024,64,0.02128,0.629
1,16,30,240,1024,128,0.015168,0.581
1,16,30,240,1024,256,0.022496,0.526
1,16,30,240,1024,512,0.020704,0.342
1,16,30,240,1024,1024,0.020352,0.586
1,16,30,480,32,32,0.159296,0.363
1,16,30,480,32,64,0.02064,0.449
1,16,30,480,32,128,0.02304,0.586
1,16,30,480,32,256,0.020352,0.521
1,16,30,480,32,512,0.021152,0.342
1,16,30,480,32,1024,0.021248,0.398
1,16,30,480,64,32,0.02288,0.497
1,16,30,480,64,64,0.020352,0.511
1,16,30,480,64,128,0.022016,0.322
1,16,30,480,64,256,0.02128,0.34800000000000003
1,16,30,480,64,512,0.021632,0.505
1,16,30,480,64,1024,0.023136,0.451
1,16,30,480,128,32,0.02352,0.516
1,16,30,480,128,64,0.0208,0.528
1,16,30,480,128,128,0.018784,0.548
1,16,30,480,128,256,0.023168,0.34400000000000003
1,16,30,480,128,512,0.021376,0.269
1,16,30,480,128,1024,0.022208,0.526
1,16,30,480,256,32,0.02144,0.428
1,16,30,480,256,64,0.020992,0.39
1,16,30,480,256,128,0.021664,0.509
1,16,30,480,256,256,0.021312,0.538
1,16,30,480,256,512,0.021472,0.33
1,16,30,480,256,1024,0.022112,0.451
1,16,30,480,512,32,0.021408,0.546
1,16,30,480,512,64,0.021824,0.293
1,16,30,480,512,128,0.022528,0.45
1,16,30,480,512,256,0.022816,0.593
1,16,30,480,512,512,0.021472,0.531
1,16,30,480,512,1024,0.025472,0.466
1,16,30,480,1024,32,0.02064,0.34700000000000003
1,16,30,480,1024,64,0.022592,0.26
1,16,30,480,1024,128,0.023264,0.392
1,16,30,480,1024,256,0.021568,0.362
1,16,30,480,1024,512,0.021536,0.59
1,16,30,480,1024,1024,0.022368,0.6990000000000001
1,16,30,960,32,32,0.297472,0.378
1,16,30,960,32,64,0.022688,0.403
1,16,30,960,32,128,0.021888,0.366
1,16,30,960,32,256,0.022112,0.577
1,16,30,960,32,512,0.022272,0.308
1,16,30,960,32,1024,0.021184,0.425
1,16,30,960,64,32,0.0232,0.448
1,16,30,960,64,64,0.022272,0.551
1,16,30,960,64,128,0.012992,0.329
1,16,30,960,64,256,0.023776,0.642
1,16,30,960,64,512,0.021792,0.417
1,16,30,960,64,1024,0.022528,0.366
1,16,30,960,128,32,0.023168,0.365
1,16,30,960,128,64,0.020736,0.40800000000000003
1,16,30,960,128,128,0.021344,0.507
1,16,30,960,128,256,0.02208,0.549
1,16,30,960,128,512,0.02096,0.65
1,16,30,960,128,1024,0.022144,0.53
1,16,30,960,256,32,0.020512,0.547
1,16,30,960,256,64,0.021408,0.518
1,16,30,960,256,128,0.021792,0.319
1,16,30,960,256,256,0.021408,0.437
1,16,30,960,256,512,0.022592,0.41400000000000003
1,16,30,960,256,1024,0.01984,0.586
1,16,30,960,512,32,0.02192,0.56
1,16,30,960,512,64,0.021984,0.767
1,16,30,960,512,128,0.02272,0.5730000000000001
1,16,30,960,512,256,0.022304,0.525
1,16,30,960,512,512,0.022784,0.583
1,16,30,960,512,1024,0.02272,0.443
1,16,30,960,1024,32,0.18272,0.505
1,16,30,960,1024,64,0.02128,0.513
1,16,30,960,1024,128,0.022496,0.548
1,16,30,960,1024,256,0.021536,0.663
1,16,30,960,1024,512,0.023104,0.334
1,16,30,960,1024,1024,0.021856,0.47200000000000003
1,16,30,1920,32,32,0.568,0.511
1,16,30,1920,32,64,0.022048,0.495
1,16,30,1920,32,128,0.021152,0.262
1,16,30,1920,32,256,0.01392,0.463
1,16,30,1920,32,512,0.02096,0.376
1,16,30,1920,32,1024,0.021376,0.459
1,16,30,1920,64,32,0.015136,0.517
1,16,30,1920,64,64,0.02112,0.581
1,16,30,1920,64,128,0.022464,0.55
1,16,30,1920,64,256,0.019264,0.452
1,16,30,1920,64,512,0.02112,0.387
1,16,30,1920,64,1024,0.020672,0.353
1,16,30,1920,128,32,0.021056,0.47800000000000004
1,16,30,1920,128,64,0.014688,0.47000000000000003
1,16,30,1920,128,128,0.0216,0.66
1,16,30,1920,128,256,0.022944,0.498
1,16,30,1920,128,512,0.021632,0.54
1,16,30,1920,128,1024,0.021312,0.375
