num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
1,256,30,30,32,32,1.01178
2,256,30,30,32,32,1.01242
3,256,30,30,32,32,1.01296
4,256,30,30,32,32,1.01219
5,256,30,30,32,32,1.28662
6,256,30,30,32,32,1.01293
7,256,30,30,32,32,1.02195
8,256,30,30,32,32,1.00819
9,256,30,30,32,32,1.01408
10,256,30,30,32,32,1.01334
11,256,30,30,32,32,1.0143
12,256,30,30,32,32,1.01318
13,256,30,30,32,32,1.01338
14,256,30,30,32,32,1.01459
15,256,30,30,32,32,1.01318
16,256,30,30,32,32,1.00803
17,256,30,30,32,32,1.00803
18,256,30,30,32,32,1.01613
19,256,30,30,32,32,1.0135
20,256,30,30,32,32,1.01274
21,256,30,30,32,32,1.02
22,256,30,30,32,32,1.01226
23,256,30,30,32,32,1.01306
24,256,30,30,32,32,1.01376
25,256,30,30,32,32,1.01376
26,256,30,30,32,32,1.01331
27,256,30,30,32,32,1.01312
28,256,30,30,32,32,1.0127
29,256,30,30,32,32,1.01418
30,256,30,30,32,32,1.0127
31,256,30,30,32,32,1.0137
32,256,30,30,32,32,1.01546
1,256,30,30,32,64,0.013152
2,256,30,30,32,64,0.014336
3,256,30,30,32,64,0.022528
4,256,30,30,32,64,0.0128
5,256,30,30,32,64,0.011616
6,256,30,30,32,64,0.011744
7,256,30,30,32,64,0.013984
8,256,30,30,32,64,0.011936
9,256,30,30,32,64,0.014368
10,256,30,30,32,64,0.01328
11,256,30,30,32,64,0.012896
12,256,30,30,32,64,0.012928
13,256,30,30,32,64,0.01312
14,256,30,30,32,64,0.013664
15,256,30,30,32,64,0.01408
16,256,30,30,32,64,0.013984
17,256,30,30,32,64,0.012288
18,256,30,30,32,64,0.012288
19,256,30,30,32,64,0.013632
20,256,30,30,32,64,0.012288
21,256,30,30,32,64,0.012288
22,256,30,30,32,64,0.013152
23,256,30,30,32,64,0.012256
24,256,30,30,32,64,0.012288
25,256,30,30,32,64,0.01168
26,256,30,30,32,64,0.018304
27,256,30,30,32,64,0.011776
28,256,30,30,32,64,0.014336
29,256,30,30,32,64,0.012384
30,256,30,30,32,64,0.014624
31,256,30,30,32,64,0.016064
32,256,30,30,32,64,0.012128
1,256,30,30,32,128,0.01232
2,256,30,30,32,128,0.012288
3,256,30,30,32,128,0.010336
4,256,30,30,32,128,0.012288
5,256,30,30,32,128,0.015968
6,256,30,30,32,128,0.01232
7,256,30,30,32,128,0.01424
8,256,30,30,32,128,0.013184
9,256,30,30,32,128,0.014688
10,256,30,30,32,128,0.010944
11,256,30,30,32,128,0.012288
12,256,30,30,32,128,0.012224
13,256,30,30,32,128,0.013984
14,256,30,30,32,128,0.012032
15,256,30,30,32,128,0.012288
16,256,30,30,32,128,0.014272
17,256,30,30,32,128,0.012288
18,256,30,30,32,128,0.010528
19,256,30,30,32,128,0.010976
20,256,30,30,32,128,0.012416
21,256,30,30,32,128,0.014208
22,256,30,30,32,128,0.014336
23,256,30,30,32,128,0.012288
24,256,30,30,32,128,0.012896
25,256,30,30,32,128,0.014464
26,256,30,30,32,128,0.012512
27,256,30,30,32,128,0.014304
28,256,30,30,32,128,0.012288
29,256,30,30,32,128,0.011808
30,256,30,30,32,128,0.01376
31,256,30,30,32,128,0.012704
32,256,30,30,32,128,0.014272
1,256,30,30,32,256,0.014688
2,256,30,30,32,256,0.012288
3,256,30,30,32,256,0.01376
4,256,30,30,32,256,0.014336
5,256,30,30,32,256,0.012288
6,256,30,30,32,256,0.011744
7,256,30,30,32,256,0.015232
8,256,30,30,32,256,0.012288
9,256,30,30,32,256,0.012288
10,256,30,30,32,256,0.012288
11,256,30,30,32,256,0.012288
12,256,30,30,32,256,0.013792
13,256,30,30,32,256,0.014336
14,256,30,30,32,256,0.013088
15,256,30,30,32,256,0.013312
16,256,30,30,32,256,0.012288
17,256,30,30,32,256,0.012352
18,256,30,30,32,256,0.014176
19,256,30,30,32,256,0.011936
20,256,30,30,32,256,0.018016
21,256,30,30,32,256,0.011744
22,256,30,30,32,256,0.012288
23,256,30,30,32,256,0.01568
24,256,30,30,32,256,0.013728
25,256,30,30,32,256,0.0136
26,256,30,30,32,256,0.014784
27,256,30,30,32,256,0.014336
28,256,30,30,32,256,0.012288
29,256,30,30,32,256,0.010976
30,256,30,30,32,256,0.011808
31,256,30,30,32,256,0.012288
32,256,30,30,32,256,0.014816
1,256,30,30,32,512,0.01248
2,256,30,30,32,512,0.01408
3,256,30,30,32,512,0.015904
