nrun,num_blocks,num_threads_per_block,taukern
0,8,32,268.648
1,8,32,268.574
2,8,32,268.626
3,8,32,269.408
4,8,32,268.689
5,8,32,268.573
6,8,32,269.363
7,8,32,270.525
8,8,32,268.617
9,8,32,268.556
10,8,32,268.594
11,8,32,268.611
12,8,32,268.596
13,8,32,269.309
14,8,32,269.39
15,8,32,268.599
16,8,32,268.588
17,8,32,268.544
18,8,32,268.592
19,8,32,268.559
20,8,32,269.318
21,8,32,268.787
22,8,32,268.561
23,8,32,270.368
24,8,32,268.588
0,8,64,136.016
1,8,64,138.057
2,8,64,135.893
3,8,64,135.285
4,8,64,135.296
5,8,64,135.063
6,8,64,135.002
7,8,64,136.566
8,8,64,135.847
9,8,64,134.977
10,8,64,135.484
11,8,64,135.433
12,8,64,135.439
13,8,64,135.794
14,8,64,135.876
15,8,64,136.115
16,8,64,135.057
17,8,64,135.015
18,8,64,135.622
19,8,64,135.38
20,8,64,136.009
21,8,64,135.333
22,8,64,135.061
23,8,64,134.833
24,8,64,135.329
0,8,128,67.9292
1,8,128,67.9711
2,8,128,68.8361
3,8,128,68.5293
4,8,128,68.7067
5,8,128,68.0164
6,8,128,67.8904
7,8,128,68.0801
8,8,128,68.6964
9,8,128,68.8289
10,8,128,67.9383
11,8,128,67.9084
12,8,128,68.0161
13,8,128,68.1714
14,8,128,67.9473
15,8,128,68.71
16,8,128,67.9791
17,8,128,67.8425
18,8,128,67.9651
19,8,128,67.8763
20,8,128,68.134
21,8,128,67.8296
22,8,128,68.9094
23,8,128,67.9408
24,8,128,68.027
0,8,256,35.1076
1,8,256,36.1648
2,8,256,35.8034
3,8,256,35.9473
4,8,256,35.2023
5,8,256,35.1391
6,8,256,35.9038
7,8,256,35.8082
8,8,256,35.0302
9,8,256,35.0634
10,8,256,35.2182
11,8,256,35.758
12,8,256,35.8277
13,8,256,35.0959
14,8,256,35.0547
15,8,256,34.9986
16,8,256,35.0565
17,8,256,35.796
18,8,256,35.0759
19,8,256,34.9816
20,8,256,35.0652
21,8,256,35.0896
22,8,256,35.0576
23,8,256,35.2671
24,8,256,35.8241
0,8,512,20.1076
1,8,512,19.1476
2,8,512,20.056
3,8,512,19.1734
4,8,512,19.3778
5,8,512,19.3901
6,8,512,19.5924
7,8,512,20.0554
8,8,512,19.2229
9,8,512,20.2003
10,8,512,19.381
11,8,512,19.4188
12,8,512,19.3563
13,8,512,19.3482
14,8,512,19.4049
15,8,512,19.353
16,8,512,19.3162
17,8,512,20.3029
18,8,512,19.1601
19,8,512,19.3851
20,8,512,19.3292
21,8,512,19.3555
22,8,512,20.1323
23,8,512,19.1376
24,8,512,20.1003
0,16,32,135.618
1,16,32,135.015
2,16,32,135.63
3,16,32,135.703
4,16,32,135.392
5,16,32,135.736
6,16,32,135.557
7,16,32,136.364
8,16,32,136.527
9,16,32,135.341
10,16,32,135.806
11,16,32,135.803
12,16,32,135.451
13,16,32,136.163
14,16,32,136.241
15,16,32,135.779
16,16,32,135.602
17,16,32,135.409
18,16,32,135.741
19,16,32,135.747
20,16,32,135.471
21,16,32,135.722
22,16,32,137.304
23,16,32,136.287
24,16,32,136.406
0,16,64,68.8897
1,16,64,68.1341
2,16,64,68.003
3,16,64,68.0265
4,16,64,68.0198
5,16,64,67.9924
6,16,64,68.7059
7,16,64,68.639
8,16,64,68.0684
9,16,64,67.9811
10,16,64,68.0161
11,16,64,68.1222
12,16,64,68.0444
13,16,64,68.596
14,16,64,68.0052
15,16,64,68.8409
16,16,64,67.9907
17,16,64,67.9331
18,16,64,68.1165
19,16,64,67.9884
20,16,64,68.0129
21,16,64,68.2441
22,16,64,68.7254
23,16,64,68.465
24,16,64,68.282
0,16,128,35.851
1,16,128,35.0823
2,16,128,35.0016
3,16,128,35.0818
4,16,128,35.0368
5,16,128,35.0123
6,16,128,35.2542
7,16,128,35.7474
8,16,128,35.097
9,16,128,35.2329
10,16,128,35.0162
11,16,128,34.9897
12,16,128,34.9018
13,16,128,35.1125
14,16,128,35.0481
15,16,128,34.9085
16,16,128,35.7648
17,16,128,35.2929
18,16,128,35.0616
19,16,128,34.9151
