N,Nx,nrun,runtime
134217728,1024,22,21.133843743
134217728,1024,18,21.060073207
134217728,1024,8,21.114683414
134217728,1024,7,21.127758573
134217728,1024,24,21.081092225
134217728,1024,14,21.173770653
134217728,1024,5,21.137652068
134217728,1024,4,21.148552066
134217728,1024,13,21.199946739
134217728,1024,1,21.19753136
134217728,1024,19,21.159621019
134217728,1024,11,21.134396972
134217728,1024,12,21.097070644
134217728,1024,6,21.133413942
134217728,1024,9,21.048801847
134217728,1024,17,21.151886662
134217728,1024,3,21.089936756
134217728,1024,10,21.091411216
134217728,1024,2,21.238536239
134217728,1024,15,21.111366604
134217728,1024,20,21.130910228
134217728,1024,16,21.260677134
134217728,1024,25,21.14332202
134217728,1024,21,21.09662881
134217728,1024,23,21.124952361
134217728,524288,22,49.363073792
134217728,524288,18,49.31391028
134217728,524288,8,50.283643962
134217728,524288,7,49.634389952
134217728,524288,24,49.183848641
134217728,524288,14,49.131116286
134217728,524288,5,51.37198483
134217728,524288,4,49.526356532
134217728,524288,13,48.896110595
134217728,524288,1,50.457396633
134217728,524288,19,48.999198746
134217728,524288,11,49.803228626
134217728,524288,12,49.028829914
134217728,524288,6,51.038230241
134217728,524288,9,48.751257006
134217728,524288,17,50.172943707
134217728,524288,3,49.873436327
134217728,524288,10,50.104933615
134217728,524288,2,49.827086023
134217728,524288,15,49.780600737
134217728,524288,20,49.729449823
134217728,524288,16,50.135912752
134217728,524288,25,49.510426164
134217728,524288,21,49.719281723
134217728,524288,23,49.296534048
134217728,8388608,22,96.42264077
134217728,8388608,18,94.596622559
134217728,8388608,8,95.554395607
134217728,8388608,7,96.042627361
134217728,8388608,24,94.183721293
134217728,8388608,14,96.048425033
134217728,8388608,5,95.367959295
134217728,8388608,4,94.886886681
134217728,8388608,13,94.616609125
134217728,8388608,1,94.829634418
134217728,8388608,19,95.932385896
134217728,8388608,11,95.46387698
134217728,8388608,12,95.378120986
134217728,8388608,6,94.832608949
134217728,8388608,9,94.546119545
134217728,8388608,17,95.554190177
134217728,8388608,3,94.911844819
134217728,8388608,10,94.539837123
134217728,8388608,2,94.133820475
134217728,8388608,15,95.454825791
134217728,8388608,20,95.398124598
134217728,8388608,16,95.318306132
134217728,8388608,25,94.198818501
134217728,8388608,21,94.249098761
134217728,8388608,23,95.491980964
134217728,4194304,22,81.939420407
134217728,4194304,18,81.331594099
134217728,4194304,8,81.736892252
134217728,4194304,7,81.769472098
134217728,4194304,24,82.935851132
134217728,4194304,14,82.27564532
134217728,4194304,5,82.140450574
134217728,4194304,4,82.010170865
134217728,4194304,13,81.509107142
134217728,4194304,1,81.844218191
134217728,4194304,19,81.632564141
134217728,4194304,11,81.814795866
134217728,4194304,12,82.309792932
134217728,4194304,6,81.618005309
134217728,4194304,9,81.580403025
134217728,4194304,17,81.722528956
134217728,4194304,3,81.623320566
134217728,4194304,10,81.967451963
134217728,4194304,2,82.2547081
134217728,4194304,15,82.300716172
134217728,4194304,20,82.220851195
134217728,4194304,16,81.634389416
134217728,4194304,25,81.860014198
134217728,4194304,21,81.689845348
134217728,4194304,23,82.688235165
134217728,16777216,22,107.185264439
134217728,16777216,18,107.659397031
134217728,16777216,8,108.741268483
134217728,16777216,7,108.617339543
134217728,16777216,24,109.102522322
134217728,16777216,14,107.124940762
134217728,16777216,5,106.812630733
134217728,16777216,4,108.476132756
134217728,16777216,13,107.136298147
134217728,16777216,1,107.062603711
134217728,16777216,19,108.361578997
134217728,16777216,11,107.00158363
134217728,16777216,12,107.282671354
134217728,16777216,6,108.265969809
134217728,16777216,9,107.046480593
134217728,16777216,17,107.327607527
134217728,16777216,3,108.26064477
134217728,16777216,10,106.977725832
134217728,16777216,2,107.022578682
134217728,16777216,15,108.882483632
134217728,16777216,20,108.050460027
134217728,16777216,16,107.194978743
134217728,16777216,25,108.39465702
134217728,16777216,21,108.534578548
134217728,16777216,23,109.205540385
134217728,33554432,22,119.331231338
134217728,33554432,18,119.885336991
134217728,33554432,8,116.984034449
134217728,33554432,7,119.398861916
134217728,33554432,24,119.940623394
134217728,33554432,14,120.99396155
134217728,33554432,5,119.689165918
134217728,33554432,4,120.962776125
134217728,33554432,13,118.685393544
134217728,33554432,1,118.120035382
134217728,33554432,19,119.920609429
134217728,33554432,11,120.995099483
134217728,33554432,12,120.433312099
134217728,33554432,6,119.597936576
134217728,33554432,9,116.932253464
134217728,33554432,17,119.969286857
134217728,33554432,3,118.290644534
134217728,33554432,10,118.700968453
134217728,33554432,2,118.816195317
134217728,33554432,15,119.990540935
134217728,33554432,20,119.911853635
134217728,33554432,16,117.021954736
134217728,33554432,25,119.658827098
134217728,33554432,21,118.538123632
134217728,33554432,23,117.218638345
134217728,32768,22,32.850269534
134217728,32768,18,32.636083538
134217728,32768,8,32.611486076
134217728,32768,7,32.902724189
134217728,32768,24,32.818764361
134217728,32768,14,32.8123925
134217728,32768,5,32.619606101
134217728,32768,4,32.894866506
134217728,32768,13,32.890279181
134217728,32768,1,32.860375613
134217728,32768,19,32.628385215
134217728,32768,11,32.924885631
134217728,32768,12,32.749303294
134217728,32768,6,32.937258994
134217728,32768,9,32.913970676
134217728,32768,17,33.21698668
134217728,32768,3,33.078300323
134217728,32768,10,32.802767248
134217728,32768,2,33.114155873
134217728,32768,15,32.822157325
134217728,32768,20,32.559617348
134217728,32768,16,32.506976421
134217728,32768,25,33.125502961
134217728,32768,21,32.905790783
134217728,32768,23,32.865865409
134217728,262144,22,46.138165846
134217728,262144,18,46.28765685
134217728,262144,8,46.126651984
134217728,262144,7,46.047141304
134217728,262144,24,45.31724139
134217728,262144,14,46.667893538
134217728,262144,5,47.094609003
134217728,262144,4,46.26840937
134217728,262144,13,46.907035254
134217728,262144,1,46.926401593
134217728,262144,19,46.148677532
134217728,262144,11,46.607542555
134217728,262144,12,46.469111448
134217728,262144,6,46.268624846
134217728,262144,9,46.149306342
134217728,262144,17,46.787964686
134217728,262144,3,46.038569416
134217728,262144,10,46.108610803
134217728,262144,2,47.012466881
134217728,262144,15,46.149699506
134217728,262144,20,46.20156228
134217728,262144,16,47.095859722
134217728,262144,25,46.097914492
134217728,262144,21,46.620595453
134217728,262144,23,46.097928389
134217728,1048576,22,55.18241851
134217728,1048576,18,54.596206839
134217728,1048576,8,55.604507016
134217728,1048576,7,55.09415028
134217728,1048576,24,56.016939318
134217728,1048576,14,54.424589342
134217728,1048576,5,55.617114413
134217728,1048576,4,56.90771399
134217728,1048576,13,54.131025682
134217728,1048576,1,54.020675937
134217728,1048576,19,54.924320559
134217728,1048576,11,53.739134221
134217728,1048576,12,53.949968943
134217728,1048576,6,55.587266413
134217728,1048576,9,54.735941674
134217728,1048576,17,55.535526231
134217728,1048576,3,54.757346974
134217728,1048576,10,53.852525959
134217728,1048576,2,54.398000082
134217728,1048576,15,53.923395471
134217728,1048576,20,55.487114953
134217728,1048576,16,54.495846329
134217728,1048576,25,55.240033184
134217728,1048576,21,55.187132295
134217728,1048576,23,56.205457496
134217728,2048,22,23.135130708
134217728,2048,18,23.114984901
134217728,2048,8,22.996234195
134217728,2048,7,23.131216166
134217728,2048,24,23.213419634
134217728,2048,14,22.968213234
134217728,2048,5,22.997544215
134217728,2048,4,23.111441102
134217728,2048,13,23.263535457
134217728,2048,1,23.13204765
134217728,2048,19,23.119612609
134217728,2048,11,23.481420954
134217728,2048,12,23.135789337
134217728,2048,6,23.134230877
134217728,2048,9,23.132576988
134217728,2048,17,22.958258996
