nrun,num_blocks,num_threads_per_block,taukern
0,8,32,9.51923
1,8,32,9.55485
2,8,32,9.51738
3,8,32,9.56637
4,8,32,9.52618
5,8,32,9.5511
6,8,32,9.50371
7,8,32,9.54826
8,8,32,9.51549
9,8,32,9.73338
10,8,32,9.84733
11,8,32,9.88669
12,8,32,9.63098
13,8,32,9.52723
14,8,32,9.7096
15,8,32,9.7625
16,8,32,10.0473
17,8,32,9.87578
18,8,32,9.8873
19,8,32,9.64128
20,8,32,9.77856
21,8,32,9.93168
22,8,32,9.65936
23,8,32,9.84307
24,8,32,9.89434
0,8,64,5.74483
1,8,64,5.77395
2,8,64,5.74592
3,8,64,5.90378
4,8,64,6.07232
5,8,64,6.21475
6,8,64,5.75066
7,8,64,5.93254
8,8,64,5.77722
9,8,64,6.26944
10,8,64,5.82669
11,8,64,6.02774
12,8,64,6.07757
13,8,64,6.01629
14,8,64,6.00154
15,8,64,6.13472
16,8,64,6.17366
17,8,64,5.97949
18,8,64,5.96006
19,8,64,5.74442
20,8,64,6.04349
21,8,64,6.35104
22,8,64,6.29968
23,8,64,6.12586
24,8,64,6.34093
0,8,128,4.18506
1,8,128,3.51533
2,8,128,4.08285
3,8,128,3.51011
4,8,128,3.9593
5,8,128,3.86525
6,8,128,3.97709
7,8,128,4.03606
8,8,128,3.54829
9,8,128,3.94842
10,8,128,3.87229
11,8,128,3.92278
12,8,128,3.4759
13,8,128,4.22474
14,8,128,3.88922
15,8,128,3.78166
16,8,128,3.88067
17,8,128,3.92051
18,8,128,3.93155
19,8,128,3.84989
20,8,128,3.6952
21,8,128,3.9455
22,8,128,3.49702
23,8,128,3.92582
24,8,128,3.89773
0,8,256,2.92832
1,8,256,3.49786
2,8,256,2.95213
3,8,256,3.49043
4,8,256,2.95312
5,8,256,3.4615
6,8,256,2.94429
7,8,256,3.49722
8,8,256,2.93245
9,8,256,3.48048
10,8,256,2.94771
11,8,256,3.51347
12,8,256,2.95091
13,8,256,3.43357
14,8,256,2.91955
15,8,256,3.20621
16,8,256,2.87821
17,8,256,3.18963
