num_run,N,host_runtime [ms]
12.0,1024.0,50.126
1.0,1024.0,101.206
7.0,1024.0,85.373
11.0,1024.0,57.1
28.0,1024.0,58.527
32.0,1024.0,30.184
10.0,1024.0,44.447
4.0,1024.0,54.385
6.0,1024.0,110.17
5.0,1024.0,122.22800000000001
25.0,1024.0,81.453
19.0,1024.0,89.727
24.0,1024.0,86.34
31.0,1024.0,41.12
3.0,1024.0,83.405
13.0,1024.0,64.976
17.0,1024.0,60.496
2.0,1024.0,123.164
8.0,1024.0,112.169
20.0,1024.0,93.533
23.0,1024.0,70.636
16.0,1024.0,84.667
29.0,1024.0,69.03
30.0,1024.0,60.153
26.0,1024.0,81.135
22.0,1024.0,73.229
14.0,1024.0,49.062
15.0,1024.0,75.35300000000001
27.0,1024.0,61.56
18.0,1024.0,75.82600000000001
9.0,1024.0,38.036
21.0,1024.0,41.014
