num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
1,16384,30,30,64,64,0.010304
2,16384,30,30,64,64,0.010496
3,16384,30,30,64,64,0.014272
4,16384,30,30,64,64,0.014336
5,16384,30,30,64,64,0.014336
6,16384,30,30,64,64,0.011872
7,16384,30,30,64,64,0.014336
8,16384,30,30,64,64,0.015392
9,16384,30,30,64,64,0.0128
10,16384,30,30,64,64,0.014624
11,16384,30,30,64,64,0.014432
12,16384,30,30,64,64,0.014336
13,16384,30,30,64,64,0.014112
14,16384,30,30,64,64,0.014336
15,16384,30,30,64,64,0.0104
16,16384,30,30,64,64,0.011808
17,16384,30,30,64,64,0.014016
18,16384,30,30,64,64,0.014784
19,16384,30,30,64,64,0.014336
20,16384,30,30,64,64,0.014816
21,16384,30,30,64,64,0.012032
22,16384,30,30,64,64,0.014752
23,16384,30,30,64,64,0.012288
24,16384,30,30,64,64,0.014336
25,16384,30,30,64,64,0.011872
26,16384,30,30,64,64,0.011872
27,16384,30,30,64,64,0.014336
28,16384,30,30,64,64,0.012288
29,16384,30,30,64,64,0.014336
30,16384,30,30,64,64,0.012288
31,16384,30,30,64,64,0.014336
32,16384,30,30,64,64,0.010176
1,16384,30,30,64,128,0.012064
2,16384,30,30,64,128,0.012736
3,16384,30,30,64,128,0.012288
4,16384,30,30,64,128,0.014336
5,16384,30,30,64,128,0.014176
6,16384,30,30,64,128,0.013824
7,16384,30,30,64,128,0.014208
8,16384,30,30,64,128,0.014336
9,16384,30,30,64,128,0.01488
10,16384,30,30,64,128,0.012288
11,16384,30,30,64,128,0.011904
12,16384,30,30,64,128,0.012352
13,16384,30,30,64,128,0.014336
14,16384,30,30,64,128,0.014464
15,16384,30,30,64,128,0.014336
16,16384,30,30,64,128,0.497664
17,16384,30,30,64,128,0.012192
18,16384,30,30,64,128,0.020544
19,16384,30,30,64,128,0.013888
20,16384,30,30,64,128,0.013984
21,16384,30,30,64,128,0.013216
22,16384,30,30,64,128,0.015552
23,16384,30,30,64,128,0.01008
24,16384,30,30,64,128,0.022496
25,16384,30,30,64,128,0.012032
26,16384,30,30,64,128,0.01488
27,16384,30,30,64,128,0.015936
28,16384,30,30,64,128,0.012288
29,16384,30,30,64,128,0.014144
30,16384,30,30,64,128,0.006144
31,16384,30,30,64,128,0.020576
32,16384,30,30,64,128,0.014336
1,16384,30,30,64,256,0.006144
2,16384,30,30,64,256,0.013568
3,16384,30,30,64,256,0.014112
4,16384,30,30,64,256,0.012256
5,16384,30,30,64,256,0.01024
6,16384,30,30,64,256,0.028192
7,16384,30,30,64,256,0.014336
8,16384,30,30,64,256,0.01024
9,16384,30,30,64,256,0.012288
10,16384,30,30,64,256,0.025952
11,16384,30,30,64,256,0.01024
12,16384,30,30,64,256,0.018432
13,16384,30,30,64,256,0.01264
14,16384,30,30,64,256,0.011904
15,16384,30,30,64,256,0.012512
16,16384,30,30,64,256,0.012256
17,16384,30,30,64,256,0.015104
18,16384,30,30,64,256,0.014336
19,16384,30,30,64,256,0.011104
20,16384,30,30,64,256,0.011776
21,16384,30,30,64,256,0.016096
22,16384,30,30,64,256,0.0104
23,16384,30,30,64,256,0.0144
24,16384,30,30,64,256,0.01248
25,16384,30,30,64,256,0.011936
26,16384,30,30,64,256,0.014336
27,16384,30,30,64,256,0.0144
28,16384,30,30,64,256,0.017664
29,16384,30,30,64,256,0.014784
30,16384,30,30,64,256,0.014336
31,16384,30,30,64,256,0.020544
32,16384,30,30,64,256,0.006208
1,16384,30,30,64,512,0.012192
2,16384,30,30,64,512,0.01456
3,16384,30,30,64,512,0.014784
4,16384,30,30,64,512,0.013952
5,16384,30,30,64,512,0.013216
6,16384,30,30,64,512,0.012288
7,16384,30,30,64,512,0.010304
8,16384,30,30,64,512,0.018144
9,16384,30,30,64,512,0.015168
10,16384,30,30,64,512,0.01456
11,16384,30,30,64,512,0.019072
12,16384,30,30,64,512,0.01232
13,16384,30,30,64,512,0.014848
14,16384,30,30,64,512,0.014656
15,16384,30,30,64,512,0.014336
16,16384,30,30,64,512,0.015232
17,16384,30,30,64,512,0.016352
18,16384,30,30,64,512,0.01328
19,16384,30,30,64,512,0.006144
20,16384,30,30,64,512,0.006144
21,16384,30,30,64,512,0.014336
22,16384,30,30,64,512,0.015392
23,16384,30,30,64,512,0.013632
24,16384,30,30,64,512,0.012288
25,16384,30,30,64,512,0.012288
26,16384,30,30,64,512,0.011712
27,16384,30,30,64,512,0.01456
28,16384,30,30,64,512,0.012064
29,16384,30,30,64,512,0.012288
30,16384,30,30,64,512,0.014368
31,16384,30,30,64,512,0.014336
32,16384,30,30,64,512,0.0144
1,16384,30,30,64,1024,0.014208
2,16384,30,30,64,1024,0.014112
3,16384,30,30,64,1024,0.012288
4,16384,30,30,64,1024,0.013024
5,16384,30,30,64,1024,0.014336
6,16384,30,30,64,1024,0.006144
7,16384,30,30,64,1024,0.013216
8,16384,30,30,64,1024,0.014336
9,16384,30,30,64,1024,0.012832
10,16384,30,30,64,1024,0.020288
11,16384,30,30,64,1024,0.009984
12,16384,30,30,64,1024,0.013472
13,16384,30,30,64,1024,0.012288
14,16384,30,30,64,1024,0.010176
15,16384,30,30,64,1024,0.01552
16,16384,30,30,64,1024,0.012128
17,16384,30,30,64,1024,0.00624
18,16384,30,30,64,1024,0.016096
19,16384,30,30,64,1024,0.247808
20,16384,30,30,64,1024,0.016512
21,16384,30,30,64,1024,0.014336
22,16384,30,30,64,1024,0.012288
23,16384,30,30,64,1024,0.020416
24,16384,30,30,64,1024,0.04096
25,16384,30,30,64,1024,0.02048
26,16384,30,30,64,1024,0.02352
27,16384,30,30,64,1024,0.006176
28,16384,30,30,64,1024,0.011872
29,16384,30,30,64,1024,0.022528
30,16384,30,30,64,1024,0.012288
31,16384,30,30,64,1024,0.014336
32,16384,30,30,64,1024,0.01088
1,16384,30,30,128,64,0.01024
2,16384,30,30,128,64,0.01328
3,16384,30,30,128,64,0.0144
4,16384,30,30,128,64,0.011136
5,16384,30,30,128,64,0.014336
6,16384,30,30,128,64,0.018784
7,16384,30,30,128,64,0.012224
8,16384,30,30,128,64,0.016
9,16384,30,30,128,64,0.014336
10,16384,30,30,128,64,0.014336
11,16384,30,30,128,64,0.010816
12,16384,30,30,128,64,0.01088
13,16384,30,30,128,64,0.012288
14,16384,30,30,128,64,0.012384
15,16384,30,30,128,64,0.014816
16,16384,30,30,128,64,0.014176
17,16384,30,30,128,64,0.012288
18,16384,30,30,128,64,0.01424
19,16384,30,30,128,64,0.013952
20,16384,30,30,128,64,0.01056
21,16384,30,30,128,64,0.012128
22,16384,30,30,128,64,0.011936
23,16384,30,30,128,64,0.012192
24,16384,30,30,128,64,0.01472
25,16384,30,30,128,64,0.01616
26,16384,30,30,128,64,0.207488
27,16384,30,30,128,64,0.014336
28,16384,30,30,128,64,0.014336
29,16384,30,30,128,64,0.014944
30,16384,30,30,128,64,0.014336
31,16384,30,30,128,64,0.013952
32,16384,30,30,128,64,0.014816
1,16384,30,30,128,128,0.019392
2,16384,30,30,128,128,0.016
3,16384,30,30,128,128,0.018496
4,16384,30,30,128,128,0.014752
5,16384,30,30,128,128,0.014336
6,16384,30,30,128,128,0.014336
7,16384,30,30,128,128,0.014336
8,16384,30,30,128,128,0.014528
9,16384,30,30,128,128,0.010272
10,16384,30,30,128,128,0.012288
11,16384,30,30,128,128,0.012288
12,16384,30,30,128,128,0.01024
13,16384,30,30,128,128,0.03856
14,16384,30,30,128,128,0.012288
15,16384,30,30,128,128,0.014336
16,16384,30,30,128,128,0.029536
17,16384,30,30,128,128,0.012448
18,16384,30,30,128,128,0.006208
19,16384,30,30,128,128,0.03072
20,16384,30,30,128,128,0.026208
21,16384,30,30,128,128,0.028416
22,16384,30,30,128,128,0.0392
23,16384,30,30,128,128,0.018336
24,16384,30,30,128,128,0.015008
25,16384,30,30,128,128,0.016224
26,16384,30,30,128,128,0.016928
27,16384,30,30,128,128,0.02224
28,16384,30,30,128,128,0.030208
29,16384,30,30,128,128,0.020704
30,16384,30,30,128,128,0.00992
31,16384,30,30,128,128,0.016
32,16384,30,30,128,128,0.012288
1,16384,30,30,128,256,0.011872
2,16384,30,30,128,256,0.012352
3,16384,30,30,128,256,0.012288
4,16384,30,30,128,256,0.009856
5,16384,30,30,128,256,0.01024
6,16384,30,30,128,256,0.014336
7,16384,30,30,128,256,0.012768
8,16384,30,30,128,256,0.006208
9,16384,30,30,128,256,0.017792
10,16384,30,30,128,256,0.011072
11,16384,30,30,128,256,0.01136
12,16384,30,30,128,256,0.012288
13,16384,30,30,128,256,0.014528
14,16384,30,30,128,256,0.012672
15,16384,30,30,128,256,0.01024
16,16384,30,30,128,256,0.020512
17,16384,30,30,128,256,0.01024
18,16384,30,30,128,256,0.014336
19,16384,30,30,128,256,0.006144
20,16384,30,30,128,256,0.006208
21,16384,30,30,128,256,0.01456
22,16384,30,30,128,256,0.014336
23,16384,30,30,128,256,0.014528
24,16384,30,30,128,256,0.006144
25,16384,30,30,128,256,0.013344
26,16384,30,30,128,256,0.01024
27,16384,30,30,128,256,0.012288
28,16384,30,30,128,256,0.012288
29,16384,30,30,128,256,0.012288
30,16384,30,30,128,256,0.012288
31,16384,30,30,128,256,0.014528
32,16384,30,30,128,256,0.012288
1,16384,30,30,128,512,0.006144
2,16384,30,30,128,512,0.011904
3,16384,30,30,128,512,0.011104
4,16384,30,30,128,512,0.013472
5,16384,30,30,128,512,0.012352
6,16384,30,30,128,512,0.014304
7,16384,30,30,128,512,0.01504
8,16384,30,30,128,512,0.014368
9,16384,30,30,128,512,0.012928
10,16384,30,30,128,512,0.014336
11,16384,30,30,128,512,0.012288
12,16384,30,30,128,512,0.01216
13,16384,30,30,128,512,0.010816
14,16384,30,30,128,512,0.01216
15,16384,30,30,128,512,0.014336
16,16384,30,30,128,512,0.014688
17,16384,30,30,128,512,0.01456
18,16384,30,30,128,512,0.01024
19,16384,30,30,128,512,0.014368
20,16384,30,30,128,512,0.014112
21,16384,30,30,128,512,0.011136
22,16384,30,30,128,512,0.014336
23,16384,30,30,128,512,0.011904
24,16384,30,30,128,512,0.01008
25,16384,30,30,128,512,0.010528
26,16384,30,30,128,512,0.014848
27,16384,30,30,128,512,0.006144
28,16384,30,30,128,512,0.005984
29,16384,30,30,128,512,0.012288
30,16384,30,30,128,512,0.014336
31,16384,30,30,128,512,0.011104
32,16384,30,30,128,512,0.012352
1,16384,30,30,128,1024,0.012768
2,16384,30,30,128,1024,0.014336
3,16384,30,30,128,1024,0.014752
4,16384,30,30,128,1024,0.012288
5,16384,30,30,128,1024,0.012
6,16384,30,30,128,1024,0.010752
7,16384,30,30,128,1024,0.014336
8,16384,30,30,128,1024,0.012288
9,16384,30,30,128,1024,0.010624
10,16384,30,30,128,1024,0.014624
11,16384,30,30,128,1024,0.012288
12,16384,30,30,128,1024,0.014432
13,16384,30,30,128,1024,0.012288
14,16384,30,30,128,1024,0.012064
